word,count	
aback-decision,1	
abandon-president,1	
abandoned-program,1	
abc-news,3	
abc-week,1	
abelardo-ochoa,1	
ability-advance,1	
ability-formulate,2	
ability-get,1	
ability-name,1	
ability-november,1	
ability-tap,1	
abject-apology,1	
able-control,1	
able-help,1	
able-know,1	
able-outvote,1	
able-stand,1	
able-work,1	
aboard-achille,1	
abortion-clinic,1	
abroad-ensure,1	
abroad-week,1	
abrupt-firing,1	
abruptly-announced,1	
absence-commitment,1	
absent-attempt,1	
absolution-kushner,1	
absorb-fox,1	
abuse-bride,1	
acceptance-red,1	
accepted-indigenous,1	
accepted-left,1	
accepting-free,1	
accepting-punishment,1	
accepting-south,1	
access-automakers,1	
access-credit,1	
access-data,1	
access-despite,1	
access-federal,1	
access-immediate,1	
access-madison,1	
access-market,1	
access-presidential,1	
access-technology,1	
accidentally-million,1	
acclaiming-performance,1	
accommodate-moment,1	
accommodating-toward,1	
accommodating-towards,1	
accompanied-palm,1	
accompanied-wife,1	
accompanying-stephen,1	
accomplish-objectives,1	
accomplish-shared,1	
according-analysis,1	
according-attendee,1	
according-brennan,1	
according-court,2	
according-customs,1	
according-description,1	
according-local,1	
according-motion,1	
according-north,1	
according-pool,1	
according-private,1	
according-report,1	
according-rotten,1	
according-south,2	
according-tax,1	
according-trepp,1	
account-billion,1	
account-financial,1	
account-pages,1	
accountability-ready,1	
accountability-standards,1	
accountable-poor,1	
accounts-suggest,1	
accreditation-boards,1	
accreditation-faced,1	
accreditation-itt,1	
accredited-corinthian,1	
accredited-education,1	
accredited-national,1	
accrediting-agencies,1	
accrediting-agency,1	
accrediting-bodies,1	
accrediting-body,1	
accrediting-council,5	
accrediting-organization,1	
accrediting-power,1	
accreditors-consequences,1	
accreditors-fight,1	
accreditors-responsible,1	
accreditors-tend,1	
accurate-bellwether,1	
accusations-china,1	
accusations-company,1	
accusations-departments,1	
accusations-excessive,1	
accusations-rights,1	
accused-helping,1	
accused-populist,1	
accused-preying,1	
aced-player,1	
ached-become,1	
achille-lauro,1	
acknowledge-growing,1	
acknowledged-organization,1	
acquire-time,1	
acquittal-federal,1	
acrimony-lionsgate,1	
acrimony-thriller,1	
acronym-islamic,2	
across-atlantic,1	
across-border,2	
across-capital,1	
across-character,1	
across-china,1	
across-country,1	
across-hudson,1	
across-lawn,1	
across-mexico,1	
across-political,1	
across-sign,2	
across-southern,1	
across-statement,1	
act-signed,1	
act-supported,1	
acted-arbitrarily,1	
acting-position,1	
acting-secretary,4	
acting-sunday,1	
action-adopted,1	
action-cheered,1	
action-childhood,4	
action-dmv,1	
action-items,1	
action-party,1	
actions-caught,1	
actions-gave,1	
actions-perpetrated,1	
actions-undermine,1	
active-market,1	
active-students,1	
actively-involved,1	
activism-often,1	
activist-accepted,1	
activist-art,2	
activist-rally,1	
activists-organizations,1	
activists-researching,1	
activities-including,1	
activity-children,1	
actress-vocalist,1	
acts-terrorism,1	
