word,count	
aaron-burr,1	
abandon-homeland,1	
abandon-president,1	
abandoned-five,1	
abandoned-israeli,1	
abandoned-roman,1	
abd-shot,1	
abdel-fattah,1	
abdelaziz-member,1	
abdelaziz-says,1	
abdi-additional,1	
abdul-rahman,1	
abelardo-ochoa,1	
ability-salute,1	
able-approach,1	
able-control,1	
able-help,1	
able-outvote,1	
able-save,1	
able-smuggle,1	
able-stand,1	
able-use,1	
aboard-ship,1	
abroad-british,1	
abroad-marked,2	
abroad-week,1	
absence-crew,1	
absent-attempt,1	
absolute-comfort,1	
absorb-fox,1	
abu-artema,1	
abu-jamous,2	
abu-musab,1	
abusada-professor,1	
abuse-bride,1	
academics-leftist,1	
academy-established,1	
academy-participated,1	
acceptance-red,1	
accepted-arrangement,1	
accepted-indigenous,1	
accepted-left,1	
accepting-south,1	
access-automakers,1	
access-credit,1	
access-despite,1	
access-devices,1	
access-federal,1	
access-give,1	
access-immediate,1	
access-market,1	
access-technical,1	
access-technology,1	
accidental-carbon,1	
acclaimed-russian,1	
acclaiming-performance,1	
accolades-playing,1	
accommodate-moment,1	
accommodating-toward,1	
accommodating-towards,1	
accompanied-palm,1	
accompanied-wife,1	
accompanying-stephen,1	
accomplice-shooting,1	
accomplished-chess,1	
according-american,1	
according-amnesty,1	
according-analysis,1	
according-associated,1	
according-bbc,1	
according-comscore,1	
according-customs,1	
according-description,1	
according-documents,1	
according-gordon,1	
according-hard,1	
according-international,1	
according-israeli,1	
according-lawyers,1	
according-local,1	
according-military,1	
according-motion,1	
according-north,1	
according-observatory,1	
according-officials,1	
according-palestinian,1	
according-pool,1	
according-private,1	
according-ready,1	
according-report,1	
according-south,2	
according-study,2	
according-syrian,2	
according-tax,1	
according-time,1	
according-two,1	
according-united,2	
according-yad,1	
accords-found,1	
account-billion,1	
account-marketing,1	
account-pages,1	
accountability-ready,1	
accountability-standards,1	
accountable-poor,1	
accounted-case,1	
accounts-king,1	
accounts-suggest,1	
accreditation-boards,1	
accreditation-faced,1	
accreditation-itt,1	
accredited-corinthian,1	
accredited-education,1	
accredited-national,1	
accrediting-agencies,1	
accrediting-agency,1	
accrediting-bodies,1	
accrediting-body,1	
accrediting-council,5	
accrediting-organization,1	
accrediting-power,1	
accreditors-consequences,1	
accreditors-fight,1	
accreditors-responsible,1	
accreditors-tend,1	
accurate-reflection,1	
accusations-china,1	
accusations-company,1	
accusations-departments,1	
accusations-rights,1	
accused-army,1	
accused-committing,1	
accused-hamas,1	
accused-helping,1	
accused-populist,1	
accused-preying,1	
accuses-gaza,1	
accuses-hamas,1	
accuses-moscow,1	
achieved-lasting,1	
achieved-within,1	
achieving-political,1	
acknowledge-entire,1	
acknowledge-restoration,1	
acknowledged-organization,1	
acknowledged-using,1	
acknowledgment-singular,1	
acquire-customers,1	
acquire-time,1	
acquired-whatsapp,1	
acquired-yelich,1	
acquittal-federal,1	
acrimony-light,1	
acrimony-panther,1	
acrimony-took,1	
acrimony-tyler,1	
across-afghanistan,2	
across-atlantic,1	
across-board,1	
across-border,3	
across-capital,1	
across-china,1	
across-country,1	
across-dusty,1	
across-fence,1	
across-lawn,1	
across-mexico,1	
across-political,1	
across-southern,1	
across-statement,1	
across-syria,1	
act-banned,2	
act-wisdom,1	
acted-appropriately,2	
acted-arbitrarily,1	
acted-judiciously,1	
action-adopted,1	
action-authority,1	
action-center,1	
action-cheered,1	
action-childhood,4	
action-dmv,1	
action-items,1	
action-party,1	
action-today,1	
actioner-held,1	
actions-gave,1	
actions-may,1	
actions-part,1	
actions-perpetrated,1	
active-corporate,1	
active-market,1	
active-participants,1	
active-students,1	
actively-enforced,1	
actively-video,1	
activism-including,1	
activism-inspired,1	
activism-often,1	
activism-portrayed,1	
activist-accepted,1	
activist-ahmad,1	
activist-initiated,1	
activist-nobel,1	
activist-rally,1	
activists-civilians,3	
activists-emergent,1	
activists-historians,1	
activists-john,1	
activists-organizations,1	
activists-researching,1	
activists-spain,1	
activists-two,1	
activists-unrecognizable,1	
activities-including,1	
activities-modest,1	
activity-children,1	
activity-dutch,1	
acton-became,1	
acton-posted,1	
actor-asa,1	
actor-david,1	
actor-field,1	
actor-hastings,1	
actor-jose,1	
actor-josh,1	
actor-matt,1	
actor-sam,1	
actors-carried,1	
actors-leave,1	
actress-ali,1	
actress-annette,1	
actress-jane,1	
actress-jessica,1	
actress-vocalist,1	
acts-injustice,3	
actual-smuggling,1	
actually-christmas,1	
actually-crossed,1	
actually-outlived,1	
actually-part,1	
actually-stand,1	
adam-wood,1	
adapt-economy,1	
adaptation-ian,1	
add-batch,1	
added-almost,1	
added-big,1	
added-convinced,1	
added-even,1	
added-jobs,1	
added-points,2	
added-possess,1	
added-rbi,3	
added-think,1	
added-well,1	
adding-analysis,1	
adding-differences,1	
adding-hoped,1	
adding-threat,1	
adding-unknown,1	
adding-wanted,1	
adding-worries,2	
addition-concert,1	
additional-evidence,1	
additional-mental,1	
additional-protesters,1	
additional-reporting,4	
additional-tariffs,2	
address-fate,1	
address-problem,1	
address-problems,1	
address-sunday,2	
address-suu,1	
address-tensions,1	
address-wages,1	
addressed-britain,1	
addressed-fox,1	
addressed-lifetime,1	
addressed-questions,1	
addressed-special,1	
addressing-members,1	
addressing-reporters,1	
adds-mexico,1	
adhered-door,1	
adjoining-streets,1	
adjusted-inflation,1	
adjusting-schedule,1	
administration-allowed,1	
administration-also,1	
administration-american,1	
administration-approved,1	
administration-begins,1	
administration-called,1	
administration-chairman,1	
administration-continue,1	
administration-declared,1	
administration-departure,1	
administration-education,1	
administration-expected,1	
administration-failed,1	
administration-federal,1	
administration-glickman,1	
administration-got,1	
administration-industry,1	
administration-legislation,1	
administration-official,1	
administration-officials,1	
administration-reassesses,1	
administration-respect,1	
administration-revoked,1	
administration-rivkin,1	
administration-support,1	
administration-targeted,1	
administration-voice,1	
administrations-stance,1	
administrations-tough,1	
administrative-records,1	
admired-parkers,1	
admirer-meeting,1	
admit-italy,1	
admit-ive,1	
admit-youre,1	
adobo-year,1	
adopt-stringent,1	
adopted-country,1	
adopted-grandfather,1	
adopted-return,1	
adopted-wto,1	
adoption-stray,1	
ads-based,1	
ads-mailings,1	
adult-immigrants,2	
adults-roman,1	
advance-nuclear,1	
advance-peace,1	
advance-retreat,1	
advance-ticket,1	
advanced-equipment,2	
advances-toward,1	
advancing-army,1	
advantage-daca,2	
advantage-deferred,1	
advantage-department,1	
advantage-program,1	
advantage-protections,1	
adventure-took,1	
adventures-bittersweet,1	
adversaries-countrys,1	
adversaries-eventually,1	
adversaries-tire,1	
advertise-social,1	
advertising-avidly,1	
adviser-going,2	
adviser-shaped,2	
advisers-closer,1	
advisers-helping,1	
advisers-questioning,1	
advisers-urging,1	
advising-component,1	
advisors-carl,1	
advisory-committee,2	
advisory-panel,1	
advocacy-group,1	
advocacy-second,1	
advocate-jamie,1	
advocated-cultural,1	
advocates-supports,1	
advocates-think,1	
advocates-well,1	
advocates-worry,1	
advocating-gun,1	
aerial-bombardment,1	
aeroflot-passenger,1	
aerospace-communications,1	
affable-low,1	
affair-trump,1	
affairs-heres,1	
affairs-khama,1	
affairs-rebels,1	
affairs-social,1	
affairs-thorn,1	
affect-delicate,1	
affect-least,1	
affected-dont,1	
affected-hunger,1	
affected-subprime,1	
afghan-american,1	
afghan-army,2	
afghan-art,1	
afghan-bases,2	
afghan-city,1	
afghan-commandos,1	
afghan-counterparts,1	
afghan-forces,2	
afghan-international,2	
afghan-ministry,1	
afghan-national,5	
afghan-officer,1	
afghan-officers,1	
afghan-police,2	
afghan-security,3	
afghan-soldiers,2	
afghan-studies,1	
afghan-troops,2	
afghanistan-advanced,2	
afghanistan-army,1	
afghanistan-declined,1	
afghanistan-help,1	
afghanistan-maintains,1	
afghanistan-part,1	
afghanistan-removal,1	
afghanistan-taliban,1	
afghanistan-time,1	
afghanistan-using,1	
afghanistan-years,1	
afghanistans-southern,1	
afghans-central,1	
afghans-right,1	
afghans-wounded,1	
aficionados-tried,1	
afraid-detained,1	
afraid-years,1	
africa-affected,1	
africa-week,1	
african-american,1	
african-union,4	
afternoon-giving,1	
afternoon-upscale,1	
afterward-death,1	
afterward-join,1	
afterwards-top,1	
age-great,1	
age-movements,1	
age-sunday,2	
aged-leaving,2	
agencies-countrys,1	
agencies-long,1	
agencies-october,1	
agencies-relied,1	
agencies-serve,1	
agency-accrediting,1	
agency-address,1	
agency-ansa,1	
agency-believe,1	
agency-continues,1	
agency-defense,1	
agency-demonstrate,1	
agency-erase,1	
agency-expressed,1	
agency-first,1	
agency-pull,1	
agency-reported,2	
agency-sana,1	
agency-south,2	
agencys-accrediting,1	
agencys-application,1	
agencys-criteria,1	
agencys-fate,1	
agencys-letters,1	
agenda-military,1	
agenda-trumpian,1	
agent-andover,1	
agent-attack,2	
agent-believe,1	
agent-designed,1	
agent-door,1	
agent-european,1	
