word,count	
Aircraft,1800	
Battle,2100	
CHAMBERS,200	
Cards,100	
Carrier,3900	
China,6000	
Chinas,100	
Chinese,1700	
Deploys,2100	
Face,300	
Groups,2100	
Guard,100	
Join,300	
Launches,100	
MASSIVE,100	
Mexico,100	
National,100	
Navy,3000	
Pact,300	
Pay,100	
Philippine,100	
Replenishment,200	
Republic,3000	
Response,100	
Russia,300	
SAMPSON,400	
SUPREME,400	
Sad,100	
Sea,2900	
South,5900	
Straits,200	
Successfully,200	
THEODORE,400	
Three,1600	
USA,400	
USNS,200	
Vietnam,300	
WASHINGTON,200	
Wow,100	
ako,100	
analyst,100	
ang,100	
argues,100	
attention,100	
authorities,300	
balita,100	
believ,200	
bureaucratic,300	
cant,200	
carrier,100	
china,100	
close,100	
complain,100	
conduct,3000	
conducted,200	
control,100	
cost,100	
declassify,300	
deploying,100	
destroyer,400	
drills,100	
endgamehale,100	
est,100	
ever,100	
exercise,3000	
expanding,100	
explanation,100	
frigate,400	
groups,100	
head,100	
heard,100	
help,100	
https,3000	
information,100	
issue,100	
jfwduffield,100	
joined,400	
launch,100	
lin,100	
memo,300	
militarisation,100	
military,100	
navy,100	
ngayon,100	
none,100	
operating,100	
operations,100	
passing,3000	
patrol,400	
perhaps,100	
policy,300	
prevent,100	
providing,300	
rationale,300	
realDonaldTrump,200	
release,300	
sea,400	
shi,400	
short,300	
simple,100	
somewhere,200	
south,100	
still,200	
strategic,300	
taking,100	
via,500	
withdraw,100	
