word,count	
absolutely-tha,193	
abyss-stupidity,589	
access-cambridge,663	
accessed-also,155	
accessed-facebook,73	
across-facebook,198	
affairs-committee,20	
aggregate-misused,20	
aggregateiq-firmasnn,180	
aiq-data,2091	
aiq-indeed,663	
aiq-las,90	
aiq-ltd,113	
aiq-may,663	
aiq-worked,43	
albawhitewolf-regrettable,20	
alexander-nix,89	
alexander-torshi,107	
already-trying,20	
also-aiq,43	
also-colluded,155	
always-question,98	
america-agains,295	
america-number,213	
americans-privacy,155	
americans-undertake,6	
analytica-accessed,73	
analytica-aiq,90	
analytica-boss,89	
analytica-data,487	
analytica-debacle,103	
analytica-est,3	
analytica-etc,79	
analytica-graphic,60	
analytica-helped,40	
analytica-influence,20	
analytica-kin,1064	
analytica-lacks,139	
analytica-que,69	
analytica-revelations,60	
analytica-says,85	
analytica-scandal,85	
analytica-servers,663	
analytica-sets,589	
analytica-shareholder,303	
analytica-steal,291	
analytica-stories,180	
analytica-story,247	
analytica-tells,771	
analytica-testified,60	
analytica-theresa,180	
analytica-took,1189	
analytica-trum,20	
analytica-trumps,16	
analytica-using,102	
analytica-uso,20	
analytica-watergate,20	
analytica-whistleblower,673	
analyticas-israeli,103	
andrew-neil,128	
another-cambridge,103	
anything-might,20	
apologises-cambridge,20	
april-alre,198	
april-mark,198	
ardndan-veri,180	
around-growing,20	
arrested-mark,20	
ask-ward,1064	
asking-john,14	
assisting-get,20	
assume-johnson,114	
attack-hindus,14	
awards-tactic,291	
back-even,20	
bannon-abso,102	
based-facts,20	
bbc-news,1015	
behind-recent,103	
beleave-veterans,20	
believe-cambridge,119	
besides-tax,20	
better-job,1015	
big-political,1015	
black-cube,103	
bolton-get,14	
boris-mate,303	
boss-alexander,89	
boss-duterte,20	
bragging-shows,589	
breach-evidence,2091	
breaking-big,1015	
brexit-needs,20	
brexit-referendum,20	
brexit-result,120	
brexit-vot,20	
brexit-vote,60	
bring-everything,20	
bring-government,20	
britnico-que,20	
btw-great,1064	
cambridge-analytic,40	
cambridge-analytica,8988	
cambridge-analyticas,103	
cambridge-ardndan,180	
cambridge-boss,20	
cambridge-influence,120	
cambridge-stuff,20	
campaign-data,180	
campaigns-supported,283	
canadian-analytic,113	
canadian-office,241	
canal-britnico,20	
case-facts,673	
caso-analytica,69	
casualtymonitor-constant,20	
chairman-tainted,20	
channel-news,1015	
cheat-brexi,20	
cheat-brexit,20	
china-morning,89	
chris-keelty,200	
christopher-wylie,60	
chuck-absolutely,193	
chuck-cooperating,578	
citizens-tainted,283	
clarifying-example,320	
clear-cambri,200	
clear-cambridge,40	
clearance-job,14	
clearly-early,102	
coisas-sobre,69	
colluded-get,155	
colorado-concerned,283	
coming-today,20	
committee-chairman,20	
concerned-citizens,283	
confirm-aiq,663	
confirmation-data,111	
confused-cambridge,20	
congressional-hearings,1052	
connect-people,180	
conspiracy-theory,291	
constant-promotion,20	
contractor-black,103	
convido-ler,69	
coo-received,111	
cooperating-depar,8	
cooperating-departmen,570	
counsel-looking,20	
cover-robert,583	
creadores-rendn,79	
cruz-spent,310	
cube-suspected,103	
data-breach,2091	
data-conspiracy,291	
data-facebook,320	
data-firm,2507	
data-million,453	
data-min,20	
data-mln,111	
data-power,180	
data-russia,20	
data-scandal,167	
datos-facebook,20	
deal-moscow,295	
debate-around,20	
del-senador,3	
democratic-fair,20	
democratic-leaving,180	
desperately-wants,434	
destap-escndalo,20	
dier-irket,180	
directly-heart,92	
director-cambridge,771	
discovered-aiq,2091	
documents-link,90	
documents-parliament,92	
duterte-coming,20	
early-steve,102	
election-south,89	
elections-suspended,43	
electoral-datos,20	
enmeshed-wit,2091	
equipo-del,3	
escndalo-cambridge,20	
escrevi-umas,69	
est-trabajando,3	
etc-llega,79	
ethical-questions,1052	
ethics-person,1052	
europes-gdpr,198	
evasion-special,20	
even-stronge,20	
every-republican,1189	
everything-else,20	
