word,count	
abiding-citizens,465	
absolute-banger,200	
abusers-get,560	
acid-attacks,200	
acid-crime,200	
across-england,1219	
alien-illegal,400	
allows-abusers,560	
amber-rudd,781	
american-peep,400	
app-see,600	
argument-seen,200	
around-killing,200	
asically-gun,200	
asking-gun,389	
assault-theft,600	
assembly-members,781	
attacks-mope,200	
attention-towards,116	
australia-example,200	
australia-talking,200	
ball-around,200	
ban-finally,200	
banned-gun,465	
banned-guns,200	
beginning-nra,115	
belief-continued,200	
bernie-thing,40	
better-gun,11	
blame-guy,200	
blue-check,200	
breaking-mugging,200	
bring-australia,200	
burn-gun,11	
call-blue,200	
called-meeting,781	
called-police,200	
calling-trying,200	
capita-compared,200	
capital-young,200	
carry-stop,200	
caught-speeding,752	
caused-harm,752	
charge-city,200	
charity-organisation,116	
check-wealth,200	
cities-strictest,200	
citizens-disar,465	
civilized-western,200	
clearly-using,200	
combat-gun,200	
combating-gun,200	
common-failed,560	
communities-crying,400	
communities-directly,200	
compared-rest,200	
comparison-crime,752	
complacency-inertia,1600	
concerned-number,200	
continued-rise,200	
contrary-popular,200	
control-lied,200	
control-tell,200	
correct-virtue,200	
correlated-social,200	
council-leaders,781	
cressida-dick,200	
crime-acid,200	
crime-better,11	
crime-capital,200	
crime-contrary,200	
crime-day,11	
crime-going,1219	
crime-government,400	
crime-gun,200	
crime-happens,200	
crime-helps,389	
crime-london,600	
crime-officers,200	
crime-pipeline,1075	
crime-rate,200	
crime-record,1310	
crime-rising,465	
crime-statistics,400	
crime-stop,200	
crime-virtually,200	
crime-wave,200	
criminal-justice,560	
crying-national,400	
day-run,11	
debate-strategies,200	
defense-governor,1075	
democratic-governor,400	
dick-sadiq,200	
difference-crime,200	
directly-correlated,200	
doesnt-mean,400	
done-lin,1600	
drillas-dropping,200	
dropping-absolute,200	
educational-economic,200	
effectively-combating,200	
enacted-gun,400	
ending-september,320	
esp-arm,389	
even-guns,465	
ever-increasing,200	
every-argument,200	
every-prog,200	
every-single,389	
example-banned,200	
existing-gun,200	
exposes-role,1075	
failed-criminal,560	
fallen-familiar,1600	
familiar-complacency,1600	
fees-kick,200	
fight-knife,200	
finally-makes,200	
firearm-shot,400	
focuses-attention,116	
folding-ever,200	
followed-something,1600	
fools-start,400	
forget-even,465	
freaking-doesnt,400	
front-three,600	
get-away,560	
get-ottawa,600	
going-across,1219	
going-guns,400	
government-fallen,1600	
government-going,400	
governor-exposes,1075	
governor-far,400	
govt-sees,200	
grassroots-footb,200	
great-point,389	
gun-acid,200	
gun-ban,200	
gun-control,400	
gun-crime,4981	
gun-every,389	
gun-knife,600	
gun-laws,800	
gun-owne,200	
gun-salute,200	
gun-technology,200	
gun-violence,600	
guns-austra,200	
guns-banned,465	
guns-yet,200	
guns-youv,400	
guy-charge,200	
happens-cities,200	
hate-crime,200	
hate-knife,200	
help-tackle,200	
helps-understand,389	
hes-clearly,200	
horrific-common,560	
house-breaking,200	
huge-increase,200	
idea-murder,200	
ignorance-gun,200	
illegal-alien,400	
illegal-firearm,400	
incite-violence,200	
inconvenient-liz,752	
increase-stop,200	
increasing-fees,200	
inertia-followed,1600	
investigate-serious,200	
islamic-terrorism,200	
john-kelly,40	
justice-system,560	
kelly-racist,40	
khan-called,200	
khan-resign,200	
kick-ball,200	
kids-teams,200	
killed-american,400	
killed-stabbings,1219	
killing-grassroots,200	
