word,count	
Adrian,1	
Alyssa,1	
Amazon,5	
American,2	
Analytica,3	
Android,4	
Angela,1	
Angeles,2	
Anson,1	
Apple,5	
Apples,1	
Army,1	
Association,1	
Athlete,1	
Aug,1	
August,2	
Babe,2	
Bannister,1	
Baseball,2	
Bitcoin,10	
Blockchain,1	
Blockstack,2	
Bloomberg,1	
Board,1	
Bothered,1	
Bradley,1	
Break,1	
Breitbart,2	
Brooklyn,1	
Brown,1	
Bruzzese,1	
Buck,1	
CAMBRIDGE,1	
Calif,2	
Cambridge,4	
Cap,1	
Casey,1	
Center,2	
Cher,1	
Chicago,2	
College,1	
Court,1	
Courts,1	
Cox,1	
Cruz,1	
Cue,1	
Cunningham,2	
Damore,2	
Democratic,1	
Denhollander,1	
Department,1	
Dies,1	
Dozens,1	
Dubious,1	
Duo,1	
EbnerLake,1	
Education,1	
Elon,1	
Equifax,1	
FRANCISCO,2	
Facebook,21	
Facebooks,1	
February,2	
Ferguson,1	
First,2	
Fleetwood,1	
Foods,1	
Forest,2	
Francisco,1	
Gibson,3	
Google,4	
Googles,2	
Great,1	
HARD,1	
HarrisonSanta,1	
Harvard,3	
Hens,2	
Hill,1	
Hundreds,1	
Instagram,8	
Jackie,1	
James,2	
January,1	
Josh,3	
Justice,1	
Keyhole,2	
Knight,4	
Lake,1	
Larry,2	
League,3	
Leonard,2	
London,1	
Los,2	
Lost,1	
Machine,1	
Major,2	
March,3	
Mass,1	
Michael,2	
Milano,1	
Mile,1	
Milton,1	
Moses,1	
Mud,2	
Musk,1	
NEED,1	
NRA,3	
NRATV,1	
Nancy,1	
Nassar,4	
National,2	
Nations,1	
Negro,3	
November,1	
Oakland,1	
Parkland,2	
People,1	
Pew,1	
Philadelphia,1	
Plessy,1	
Prescott,1	
Readers,1	
Reconcile,1	
Research,1	
Richardson,1	
Rifle,1	
Robinson,1	
Roger,2	
Ruth,2	
Ryan,2	
SAN,2	
Sachi,1	
San,1	
Shea,1	
Silicon,1	
Since,1	
SpaceX,1	
Sports,3	
StaffordRye,1	
State,1	
States,1	
Stockings,1	
Strategies,1	
Supreme,2	
Technologies,1	
Tesla,1	
Thursday,1	
Tim,1	
Time,1	
Times,1	
Toledo,1	
Topeka,1	
Truth,1	
Tusk,4	
Twitter,6	
United,2	
University,2	
Valleys,1	
Various,1	
Voting,1	
Walch,1	
Walker,2	
Web,1	
Whats,1	
WhatsApp,1	
White,1	
Whole,1	
Wide,1	
World,1	
Worried,1	
Yes,1	
Yet,1	
York,3	
abandoned,1	
ability,1	
abstaining,1	
abuse,3	
abused,1	
access,4	
according,6	
account,8	
accountable,1	
accounting,1	
accounts,6	
accuse,2	
acknowledged,1	
active,1	
activist,2	
activists,1	
activity,1	
actress,1	
actually,1	
added,1	
adults,2	
advance,1	
advertisements,1	
advocates,1	
afforded,1	
aficionados,1	
agency,1	
aid,1	
aimed,2	
allowed,1	
allows,4	
also,7	
alter,1	
altered,1	
amid,1	
analysis,2	
animating,1	
announced,2	
another,2	
answer,1	
answers,1	
anyone,1	
anything,1	
apace,1	
app,1	
applied,1	
apply,2	
apps,1	
argues,1	
arrangement,1	
ask,1	
asked,2	
assemble,1	
attempt,3	
attended,1	
attention,1	
authority,1	
avoided,1	
away,1	
back,1	
backlash,1	
bad,1	
banks,1	
baseball,1	
based,1	
baseman,1	
basic,1	
bedeviled,1	
beefing,1	
began,1	
beginning,1	
begun,1	
behind,2	
benchmark,1	
benefits,1	
best,2	
better,1	
beyond,1	
big,3	
biggest,1	
billion,1	
black,1	
block,1	
blockchain,27	
blockchains,2	
blocks,3	
blunt,1	
book,1	
boycott,6	
boycotting,1	
boycotts,1	
braved,1	
brick,1	
broader,1	
broke,1	
brought,1	
built,3	
busy,1	
call,1	
called,6	
calling,2	
calls,2	
came,5	
campaign,1	
campaigns,1	
capitalists,1	
catch,2	
catcher,1	
caught,1	
central,1	
certain,2	
chained,1	
challenges,1	
change,1	
channel,3	
chief,1	
child,1	
choices,1	
church,1	
circa,1	
climate,1	
close,1	
coffee,1	
coin,1	
collapsing,1	
collecting,1	
collection,1	
commented,1	
companies,10	
company,6	
companys,4	
completely,2	
complicated,2	
computer,1	
computers,1	
concerns,2	
conditioned,1	
consequences,1	
conservative,2	
considered,1	
consumer,1	
continue,1	
control,4	
controversies,1	
conversation,1	
corporate,1	
corporations,1	
coughed,1	
counteracted,1	
countless,1	
court,1	
create,1	
created,1	
creator,1	
credit,1	
criminals,1	
criticism,1	
criticizing,1	
critics,1	
crowds,1	
crystallized,1	
currencies,1	
currency,2	
customer,1	
data,16	
database,2	
databases,1	
daughter,1	
day,1	
days,3	
deactivated,1	
deactivating,1	
deafening,1	
decentralized,1	
delete,1	
deleted,4	
delivery,1	
departments,1	
describes,1	
deserve,1	
details,2	
detergent,1	
development,2	
developmental,1	
device,1	
devices,1	
didnt,3	
difficult,1	
difficulty,1	
dilemma,1	
discuss,1	
discussion,1	
disrupt,2	
distraught,1	
diversity,1	
doctor,2	
doctrine,3	
documentaries,1	
documentary,1	
dollars,3	
dont,2	
door,1	
double,1	
drain,1	
drawn,1	
early,2	
easily,1	
ecosystem,1	
edge,1	
effective,1	
efforts,3	
egalitarian,1	
election,1	
eliminate,1	
else,1	
emergence,1	
emeritus,1	
employees,1	
encrypting,1	
end,1	
engineer,1	
enjoyed,1	
enough,1	
entity,1	
entrepreneurs,1	
equal,1	
escaping,1	
established,1	
even,2	
event,2	
every,1	
evident,1	
exactly,2	
example,1	
exchanged,1	
executive,2	
existing,1	
expected,1	
experiments,3	
face,1	
faced,1	
facing,2	
fact,2	
fairly,1	
famously,1	
far,1	
favor,1	
federal,1	
feel,1	
fellow,1	
field,3	
filled,1	
filmmaker,1	
financial,1	
find,1	
fine,1	
fired,1	
firing,1	
firm,1	
first,5	
five,1	
flat,1	
flip,1	
followers,1	
force,1	
forced,1	
foreign,1	
forgive,1	
forgiveness,2	
forgot,1	
former,4	
found,1	
founder,1	
freelanced,1	
frequent,1	
friends,2	
fundamental,1	
gained,2	
game,1	
games,1	
generate,1	
generation,1	
gentleman,1	
get,2	
getting,1	
giant,1	
giants,2	
going,1	
good,1	
got,1	
gotten,1	
governments,4	
guessed,1	
guilty,1	
gymnast,1	
hack,1	
hackers,1	
hacking,1	
hadnt,1	
half,2	
hall,1	
hand,1	
happened,1	
hard,2	
harder,1	
harvested,1	
hashtag,5	
headed,1	
hedge,1	
heels,1	
help,1	
helped,1	
high,1	
highly,1	
history,2	
hoard,1	
hold,2	
home,1	
hoping,1	
host,1	
hosted,1	
humanitarian,1	
hundreds,1	
hype,1	
iPad,1	
iPhone,3	
iPhones,1	
idea,1	
ideas,1	
identities,1	
identity,3	
ideologies,1	
imitators,1	
immediately,1	
important,1	
improperly,2	
incentive,1	
included,1	
includes,1	
increased,1	
increasingly,1	
independent,1	
industry,3	
inescapable,1	
infiltrated,1	
influence,2	
influenced,1	
information,8	
initial,1	
instead,1	
instructed,1	
integrated,1	
intended,1	
interact,1	
interest,1	
internet,5	
intersection,1	
intractable,1	
investment,1	
investor,1	
involved,1	
irony,1	
issue,2	
issues,1	
justice,3	
keeping,1	
kept,1	
key,3	
