word,count	
AIQ,3663	
ANALYTICA,20	
Accessed,228	
According,20	
Affairs,20	
Aggregate,20	
AggregateIQ,588	
Akerman,3	
Alexander,196	
Also,198	
America,508	
Americans,181	
Analytic,153	
Analytica,9037	
Analyticas,103	
Andrew,128	
April,396	
BBC,1015	
Bannon,102	
BeLeave,20	
Black,103	
Bolton,121	
Boris,303	
Brexi,20	
Brexit,375	
Btw,1064	
CAMBRIDGE,20	
CNN,116	
COO,111	
Cambri,220	
Cambridge,9451	
Canadian,354	
CasualtyMonitor,20	
Chairman,20	
Channel,1015	
China,89	
Chris,200	
Christopher,60	
Chuck,771	
Citizens,283	
Colorado,283	
Committee,20	
Concerned,283	
Conspiracy,295	
Constant,20	
Cruz,310	
Cube,103	
Data,353	
Deal,295	
Depar,8	
Departmen,570	
Director,771	
Documents,90	
Duterte,20	
EVEN,167	
Ele,155	
Escrevi,69	
Europes,198	
Every,1189	
Evidence,295	
Exact,241	
FBI,14	
FULL,193	
Fac,20	
Facebook,1948	
Farage,114	
Foreign,20	
Former,578	
Franais,10	
GDPR,198	
Graphic,60	
Great,20	
Group,113	
Guilty,155	
Hacker,79	
Hey,20	
Hillary,155	
Hindus,14	
House,20	
Hundreds,283	
Idea,14	
Illegally,155	
Important,2091	
Indeed,14	
Israeli,103	
John,121	
Johnson,114	
Jueguen,79	
Kanadal,180	
Keelty,200	
Keep,213	
Key,167	
Lacks,139	
Las,90	
Leave,200	
Looks,20	
Lord,303	
Ltd,113	
Mark,393	
Marland,303	
Massive,295	
Mays,180	
Mercer,1899	
Might,20	
Million,20	
Millions,155	
Morning,89	
Moscow,295	
NSC,14	
Neil,128	
News,2030	
Nick,128	
Nigerian,20	
Nix,89	
Number,213	
OSM,291	
Odebrecht,79	
Office,241	
Ops,295	
Parliament,92	
Philippine,89	
Please,20	
Pos,89	
Privacy,155	
Promise,213	
Rachel,14	
Ramon,180	
Read,180	
Received,107	
Referendum,20	
Regrettable,20	
Remain,20	
Rendn,79	
Republican,1623	
Republicans,20	
Research,771	
Retweeted,200	
Robert,1879	
Robinson,128	
Royce,20	
Russia,352	
Russian,590	
SCANDAL,20	
SCL,354	
Salisbury,65	
Sandber,180	
Sandberg,291	
Sheryl,111	
Silicon,12	
Simply,20	
Sin,155	
SmearBuhari,60	
Soldier,114	
South,89	
Spy,114	
Steve,102	
Still,20	
Stored,20	
Stunned,60	
Super,213	
TAINTE,213	
TAINTED,1047	
Tailor,114	
Theresa,200	
Tinker,114	
Today,92	
Todays,180	
Torshi,107	
Tory,303	
True,14	
Trum,20	
Trump,508	
Trumps,16	
Turn,295	
Ukip,20	
Uribe,3	
Val,12	
Veterans,20	
Video,60	
Vote,20	
Ward,1064	
Watergate,20	
WhatsApp,60	
Worked,214	
Wylie,723	
Zuckerberg,218	
abso,102	
absolutely,193	
abyss,589	
acce,663	
access,663	
across,198	
address,241	
agains,295	
albawhitewolf,20	
alre,198	
already,20	
always,98	
another,103	
anything,20	
apologises,20	
ardndan,180	
around,20	
arrested,20	
ask,1064	
asking,14	
assisting,20	
assume,114	
attack,14	
awards,291	
back,20	
based,20	
bee,60	
behind,103	
believe,119	
besides,20	
better,1015	
big,1015	
boss,109	
bragging,589	
breach,2091	
breached,65	
breaking,1015	
brexit,120	
bring,40	
britnico,20	
campaign,180	
campaigns,283	
canal,20	
carpet,20	
case,673	
caso,69	
cheat,40	
clarifying,320	
clear,240	
clearance,14	
clearly,102	
coisas,69	
colluded,155	
coming,20	
confirm,663	
confirmation,111	
confused,20	
congressional,1052	
connect,180	
conspiracy,291	
contractor,103	
convido,69	
cooperating,578	
counsel,20	
cover,583	
creadores,79	
data,5920	
datos,20	
debacle,103	
debate,20	
del,3	
democratic,200	
desperately,434	
destap,20	
dier,180	
directly,92	
discovered,2091	
documents,765	
dolla,434	
early,102	
election,134	
elections,43	
electoral,20	
else,20	
enmeshed,2091	
equipo,3	
escndalo,20	
est,3	
etc,79	
ethical,1052	
ethics,1052	
evasion,20	
even,20	
everything,20	
evidence,2854	
example,320	
exceed,73	
extend,198	
face,20	
fact,113	
facts,693	
fair,20	
far,1015	
faux,20	
firm,2507	
firmasnn,180	
forced,180	
foreigners,20	
former,496	
found,6	
funds,107	
geen,180	
get,189	
gewaarschuwd,12	
geweest,12	
gone,20	
gov,113	
government,292	
graphic,20	
great,1064	
group,241	
growing,20	
half,434	
head,14	
headlines,65	
hearings,1052	
heart,92	
helped,40	
hide,36	
hijack,20	
historic,119	
https,20	
hundreds,12	
hunt,103	
idiotism,589	
impartially,1015	
implicated,1189	
implodes,167	
increasingly,180	
indeed,663	
inexplicably,20	
influence,140	
information,306	
innocense,93	
insulting,14	
intelligence,103	
intend,20	
interesting,1052	
internationa,1189	
invisibl,320	
invited,20	
irket,180	
ironic,65	
jarenlang,12	
job,1029	
joined,213	
kin,1064	
knocked,65	
lacks,96	
lake,320	
lead,92	
learn,20	
leaving,180	
led,213	
ler,69	
limp,79	
link,203	
llega,79	
looking,40	
looks,180	
los,79	
lost,93	
lvaro,3	
made,240	
mandate,20	
massive,1064	
mate,303	
may,952	
means,20	
meddling,89	
media,180	
might,20	
million,1315	
min,20	
mismos,79	
misused,20	
mln,111	
money,1189	
naef,12	
nearly,434	
needs,20	
news,1080	
next,40	
niet,12	
ocean,320	
offic,180	
office,241	
ope,103	
open,12	
opportunity,1244	
outcome,60	
overheid,12	
owner,20	
par,10	
para,3	
parliament,90	
patriots,20	
people,280	
person,1052	
pervasive,320	
photo,303	
piece,200	
planned,14	
plans,20	
please,120	
plot,98	
plus,10	
poisoning,65	
political,1015	
potentiellement,10	
power,200	
ppl,20	
presented,90	
presidential,310	
principals,589	
private,103	
probed,89	
profiles,73	
promised,198	
promotion,20	
providing,583	
que,89	
question,112	
questions,1219	
quickly,98	
quite,167	
quoted,20	
read,20	
reasonable,20	
received,222	
recent,103	
referendum,20	
reflect,180	
remember,120	
reply,111	
reporting,1015	
result,120	
revelations,60	
richting,12	
ruin,5	
sale,180	
says,2379	
scandal,232	
scandale,10	
scanning,20	
screened,114	
seat,434	
security,14	
see,140	
selling,180	
senador,3	
senate,434	
servers,663	
sets,609	
shady,20	
shared,100	
shareholder,303	
shows,589	
skandalnda,180	
sluizen,12	
sobre,69	
social,360	
something,583	
speaks,180	
special,20	
spending,1064	
spent,764	
staff,1015	
stand,20	
standards,589	
states,673	
steal,291	
sting,103	
stored,307	
stories,180	
story,247	
stronge,20	
stuff,20	
stupidity,589	
subtly,14	
supported,283	
survey,6	
survive,93	
suspected,103	
suspended,403	
suspends,187	
swept,20	
tactic,291	
targetting,20	
tax,20	
tells,771	
testified,60	
tha,313	
theory,291	
thickens,98	
think,20	
thousand,283	
thousands,6	
thread,1052	
today,20	
tonight,114	
took,1189	
touchs,10	
trabajando,3	
truth,98	
trying,20	
tweets,128	
two,119	
umas,69	
undertake,6	
untruths,20	
use,180	
users,546	
using,102	
uso,20	
veel,12	
veri,180	
via,180	
video,26	
vos,69	
vot,20	
vote,60	
wants,434	
wear,93	
well,60	
whi,93	
whistleblower,673	
whistleblowers,119	
whol,589	
wit,2091	
within,320	
worked,1288	
write,92	
writes,663	
youre,20	
zetten,12	
zijn,12	
