word,count	
ABUJA,2	
ACCOUNTSFacebook,1	
ADVISORS,1	
ALAN,1	
ALLIANZ,1	
AMC,1	
ARD,1	
ASSOCIATES,2	
Abbey,3	
Abernathy,3	
AbernathyMany,1	
Abington,1	
Ablan,1	
Ackmans,1	
Act,8	
Action,1	
Acxiom,1	
Adam,2	
Addison,2	
Additional,9	
Adler,1	
Administration,2	
Admissions,1	
Adrian,1	
Ads,3	
Advertisers,1	
Advisors,1	
Aerie,1	
Africa,7	
African,7	
Africans,4	
Agency,10	
AggregateIQ,5	
Aghdam,6	
Aghdams,1	
Agreement,1	
Agriculture,1	
Ahmed,1	
Ainsworth,1	
Airbnb,5	
Alan,1	
Alaska,1	
Alastair,1	
Albany,2	
Albert,1	
Alberta,1	
AlbertaI,1	
Alec,1	
Aleksander,1	
Aleksandr,3	
Alerts,1	
Alex,3	
Alexa,9	
Alexander,1	
Alexandra,1	
Alexis,4	
Alibaba,2	
Alissa,1	
Alistair,2	
Alix,1	
Alliance,1	
Allison,1	
Alongside,1	
Alphabet,11	
Also,4	
Although,2	
Always,1	
Alyssa,1	
Alzheimers,2	
Amalgamated,2	
Amalgamateds,1	
Amazon,43	
Amazons,8	
America,4	
American,20	
Americans,10	
Among,2	
Amy,1	
Ana,1	
Analytica,146	
Analyticas,1	
Anbang,1	
Andrew,4	
Android,10	
Andy,1	
Angela,1	
Angelene,4	
Angeles,2	
Anger,1	
Anick,1	
Anne,2	
Another,3	
Anson,1	
Antitrust,1	
Antony,1	
Anyone,2	
Anyway,1	
Apology,1	
Appear,1	
Apple,13	
Apples,2	
Applications,1	
April,31	
AprilAnd,1	
Arabia,1	
Architects,1	
Area,2	
Arizona,1	
Arjun,3	
Arkansas,1	
Army,1	
Arthur,5	
Arthurs,1	
Article,1	
Articles,1	
Asian,3	
Asset,1	
Assistant,3	
Association,4	
Astronomer,2	
Athlete,1	
Atlanta,1	
Atlantic,2	
Attorney,5	
Auchard,2	
Aug,1	
August,3	
Aung,1	
Austin,1	
Australia,6	
Australian,17	
Austrias,1	
Authorities,1	
Authority,1	
Automatic,1	
Autopilot,3	
Autopilots,1	
Award,1	
Axios,1	
Aye,1	
Azerbaijan,1	
BERLIN,1	
BOSTON,2	
BRUNO,1	
BRUSSELS,2	
BTIG,1	
Babe,2	
Baker,6	
BakerElla,1	
Bakish,2	
Balsam,1	
Balsams,1	
Bandolino,1	
Bang,2	
Bank,7	
Bannister,1	
Bannon,1	
Barack,2	
Barbara,1	
Bargain,1	
Barley,5	
Barry,1	
Bartunek,1	
Baseball,2	
Basics,5	
Bates,2	
Batess,1	
Bath,1	
Bay,2	
Beau,1	
Beijing,4	
Beijings,1	
Belzberg,1	
Benckiser,1	
Bend,1	
Bengaluru,1	
Benioff,1	
Benkoe,2	
Bennett,1	
Bernard,2	
Bernays,1	
Bernice,1	
Best,3	
Beyond,1	
Big,7	
Bill,7	
Bitcoin,10	
Black,1	
Blackstone,3	
Blackstones,1	
Blacktivist,1	
Blockbuster,1	
Blockchain,1	
Blockstack,2	
Bloomberg,13	
Bloombergs,1	
Board,4	
Bob,2	
Boehler,1	
Boeing,3	
Bolton,2	
Book,2	
Boston,7	
Bostons,2	
Bosworth,2	
Bothered,1	
Botox,1	
Boudette,1	
Bowl,1	
Bowles,1	
Boys,2	
Bradley,1	
Bradsher,1	
Braking,1	
Brandeis,1	
Brands,1	
Brazil,1	
Break,1	
Breakigviews,1	
Breitbart,2	
Brent,2	
Brexit,23	
Brexits,1	
Brian,4	
Brief,4	
Briefing,6	
Brigham,1	
Britain,17	
Britains,9	
British,25	
Britons,1	
Broadcast,2	
Broadcom,2	
Broadway,1	
Bronx,2	
Brooklyn,1	
Brooks,1	
Brother,1	
Brown,2	
Browse,1	
Bruno,1	
Brussels,1	
Bruzzese,1	
Buchan,2	
Buck,1	
Buckley,1	
Budget,1	
Buffier,1	
Buhari,1	
Bumble,1	
Bureau,4	
Burroughs,1	
Business,2	
CAMBRIDGE,3	
CANAVAN,1	
CAPITAL,1	
CBS,3	
CEO,24	
CEOs,1	
CHANGING,1	
CHARLOTTE,1	
CHIEF,1	
CITY,1	
CNBC,1	
CNET,1	
CNN,2	
CONSULTING,1	
COO,2	
CROSSING,1	
CURRENCY,1	
CVS,2	
Caius,2	
Calif,3	
California,8	
Caliphate,1	
Callimachi,1	
Cally,2	
CalmThe,1	
Cambridge,184	
Camillus,1	
Campaign,1	
Canada,9	
Canadian,10	
Canadians,3	
Cap,2	
Capital,5	
Capitol,4	
Carbanak,1	
Carbonnel,1	
Cardi,1	
Cardozo,2	
Caribbean,2	
Carl,1	
Carr,5	
Carrel,1	
Carter,12	
Carters,2	
Casey,1	
Cassell,1	
Catherine,1	
Catz,2	
Center,10	
Central,1	
Ceremonial,1	
Cfius,1	
Chairman,3	
Chang,2	
Chapter,2	
Charles,1	
Charleston,1	
Chase,1	
Chases,2	
Cher,3	
Chester,4	
Chicago,2	
Chief,25	
Childrens,1	
Chin,1	
China,40	
Chinas,4	
Chinese,17	
Chocolate,1	
Chris,2	
Christ,1	
Christian,5	
Christopher,4	
Chuck,1	
Church,3	
Cindy,1	
Cinema,1	
Cinerama,1	
Citadel,4	
Citadels,1	
Citigroup,1	
City,3	
CityScope,1	
Civil,4	
Clarence,1	
Clark,5	
ClarkMonths,1	
Click,1	
Club,1	
Cobalt,1	
Codacons,2	
Coffee,1	
Cohen,5	
Cohens,3	
Collar,1	
Collection,1	
College,10	
Collins,4	
Colman,1	
Colombe,1	
Columbia,5	
Comcast,2	
Commerce,23	
Commerzbank,2	
Commission,21	
Commissioner,13	
Committee,22	
Committees,6	
Common,1	
Communications,4	
Community,1	
Companies,2	
Company,3	
Composite,2	
Comptroller,1	
Confederate,1	
Conference,1	
Congress,40	
Conservatives,1	
Consovoy,1	
Consular,2	
Consumer,5	
Consumers,1	
Contact,2	
Continent,1	
Convention,2	
Cook,4	
Cooney,2	
Coordinating,1	
Coram,1	
Corkum,4	
Cornell,1	
Corner,2	
Corp,1	
Cotton,4	
Council,5	
Counsel,1	
Court,6	
Courts,1	
CowleyBlackRock,1	
Cox,2	
Crawford,1	
Criminal,1	
Critics,3	
Cropley,1	
Crow,1	
Cruz,1	
Cue,1	
Culture,1	
Cunningham,2	
Currency,1	
Cushing,1	
Customers,2	
Czech,1	
DATA,3	
DATAPrivacy,1	
DIRECTOR,1	
DNA,4	
Dada,1	
Dadaist,1	
Dai,1	
Daily,1	
Daisuke,1	
Dakota,1	
Dalgleish,3	
Dame,1	
Damian,2	
Damien,1	
Damme,2	
Damore,2	
Dane,2	
Dar,1	
Dara,1	
Dasgupta,1	
Data,4	
David,16	
Davidson,1	
Dean,1	
Death,1	
December,6	
Deere,1	
Defense,2	
Delays,1	
Delivery,1	
Delrahim,1	
Democracy,3	
Democrat,12	
Democratic,10	
Democrats,4	
Denham,3	
Denhollander,1	
Dennis,1	
Department,16	
Departments,1	
Deputy,1	
Despite,2	
Deutsche,4	
Development,1	
Devet,1	
Diane,1	
Diego,1	
Dies,1	
Digital,6	
Dilma,1	
Dimon,14	
Dimons,5	
Directorate,1	
Disease,1	
Disney,1	
District,2	
Doctor,1	
Donald,16	
Dont,4	
Doppelt,1	
Dorothy,2	
Douglas,4	
Dow,6	
Dozens,1	
Dreamers,1	
Dress,1	
Drug,1	
Dubious,1	
Duchess,1	
Dumoulin,2	
Duo,1	
Dutch,1	
Duterte,1	
Dwight,1	
ECONOMIST,1	
EPIC,1	
ESG,1	
ETF,1	
EUROPEAN,2	
Earlier,1	
East,1	
Eastern,1	
EavisA,1	
EavisAfter,1	
EavisMick,1	
EavisTech,1	
Eaviss,1	
EbnerLake,1	
Ecclesiastes,2	
Echo,4	
EchoMetrix,5	
Eddie,3	
Eden,3	
Editing,19	
Educated,1	
Education,3	
Eerily,1	
Effectively,1	
Einhorn,3	
Einhorns,1	
Elections,2	
Electric,3	
Electronic,6	
Elisabeth,1	
Elizabeth,6	
Elkus,1	
Ella,1	
Ellas,1	
Elliott,2	
Elon,7	
Emboldened,1	
Emergency,1	
Emmanuel,3	
End,1	
Energy,14	
Engineering,1	
England,1	
English,5	
Entertainment,1	
Entrepreneurs,1	
Episcopalian,1	
Equifax,5	
Eric,6	
Errol,1	
Essen,1	
Eswar,1	
Ethiopia,1	
Europe,14	
European,50	
Europeans,10	
Europes,3	
Evans,1	
Even,2	
Evening,2	
Evercore,4	
Every,2	
Everyone,1	
Everything,2	
Everytown,2	
Evil,1	
Except,1	
Exchange,1	
Executive,19	
Expedia,1	
Experian,1	
Extended,1	
Eze,2	
FACEBOOK,2	
FAN,6	
FANG,3	
FANGs,1	
FARGO,1	
FEDERAL,2	
FIRM,1	
FLORHAM,1	
FRANCISCO,8	
FTC,11	
FTs,1	
Facebook,483	
Facebooks,17	
Factory,1	
Fair,2	
Falk,4	
Fallon,1	
FamilySafe,1	
Fannie,2	
Fare,1	
Fargo,2	
February,15	
FebruaryWASHINGTON,1	
Fed,17	
Federal,22	
Felicity,1	
Fellowes,1	
Fenway,1	
Ferguson,1	
Fernandez,1	
Ferrell,2	
Festival,1	
Fick,1	
Fidessa,1	
Fiennes,1	
Fifty,1	
Film,1	
Financial,4	
First,3	
FirstEnergy,1	
Five,2	
Flahive,2	
Fleetwood,1	
Florida,1	
Flying,1	
Focus,1	
Folk,1	
Following,1	
Food,1	
Foods,1	
Forbes,2	
Forest,2	
Format,1	
Forte,1	
Fortress,1	
Foundation,4	
Foundations,1	
Fox,2	
France,6	
Francisco,2	
Frank,4	
Free,6	
Freedom,3	
French,4	
Friday,26	
Friend,1	
Frontier,3	
Fumbuka,1	
GDPR,6	
GENERALE,1	
GIF,1	
GLOBAL,2	
GOP,2	
GROUP,1	
GSR,2	
Gadfly,2	
Gallup,1	
Gamble,1	
Game,1	
Garba,1	
Garner,1	
Gatess,1	
Gattaca,1	
Gebhardt,2	
Gelzinis,1	
General,9	
Generals,1	
Generation,1	
Geoffrey,1	
George,4	
Georgia,1	
German,7	
Germany,2	
Giannandrea,1	
Gibson,4	
Giovanni,2	
GlaxoSmithKline,1	
Gleicher,2	
Glendale,1	
Global,3	
Globe,1	
Gloria,3	
Glorious,1	
Glut,1	
God,1	
Goldman,3	
Gonville,2	
Good,4	
Goodluck,5	
Google,45	
Googlers,1	
Googles,4	
Gordon,1	
Gradalski,2	
Grail,1	
Grant,2	
Graphics,1	
Grassley,1	
Gray,4	
Great,4	
Greater,1	
Green,1	
Greenberg,1	
Greenfield,1	
Greenlight,1	
Greg,5	
Gregg,1	
Grenfell,1	
Gribbin,1	
Griffins,1	
Grobert,3	
Groberts,1	
Gross,1	
Group,9	
Groups,1	
Guard,2	
Guardian,1	
Guardsman,2	
Guinness,1	
Gulf,1	
Gun,2	
Gurman,1	
Gyimah,1	
HAL,6	
HARD,1	
HEAD,1	
Hackers,1	
Hague,1	
Hamer,2	
HamerA,1	
Hammond,2	
Hampshire,1	
Hancock,2	
Hansen,1	
Hares,1	
Hari,1	
HarrisonSanta,1	
Harvard,11	
Hattari,3	
Hawaii,3	
Hawking,17	
Hawkings,1	
Head,2	
Health,2	
Heard,1	
Hearings,2	
Heart,1	
Heating,2	
Hed,1	
Hedlund,1	
Height,2	
HeightDorothy,1	
Henderson,7	
Henry,4	
Hens,2	
Hensarling,1	
Heres,14	
Hes,4	
Hey,1	
High,2	
Highlander,4	
Hill,5	
Hillary,1	
Himani,3	
Himel,2	
History,5	
Holdings,1	
Holes,1	
Hollander,15	
Hollanders,4	
Hollywood,2	
Holy,1	
Home,5	
Homeland,1	
Honest,3	
Honey,1	
Hong,1	
Hook,1	
Hopefully,1	
House,41	
Houses,2	
However,2	
Htaike,1	
Huang,8	
Huckabee,1	
Hult,1	
Humana,1	
Hundreds,3	
Huynh,1	
Hyundai,1	
ICO,8	
ICT,1	
INDIVIDUAL,2	
INFORMATION,2	
INVESTMENT,4	
IRA,8	
ISIS,3	
Ian,1	
Icahn,1	
Iceland,1	
Idaho,1	
Idol,1	
Ikechukwu,1	
Ill,1	
Importantly,1	
Inc,33	
Incio,1	
Increasingly,1	
Index,1	
India,2	
Indian,3	
Indias,1	
Individual,2	
Indonesia,6	
Indonesian,9	
Indonesians,3	
Information,15	
Ingram,4	
Initiative,1	
Inquirer,1	
Inside,1	
Instagram,19	
Institute,4	
Institutions,1	
Insufficient,1	
Intel,1	
Intelligence,5	
Interchange,1	
International,3	
Internet,13	
Investigators,4	
Investment,1	
Investor,1	
Investors,4	
Iran,2	
Iraq,4	
Iraqwebservice,1	
Irving,1	
Irwin,1	
Isaac,3	
Islamic,4	
Island,1	
Isle,1	
Italian,1	
Italians,3	
Ithaca,1	
Ive,1	
Ivy,1	
Izzard,1	
JAKARTA,2	
JERSEY,1	
JPMorgan,5	
Jack,2	
Jackie,1	
James,9	
Jamie,5	
Jane,2	
January,3	
Janus,1	
Japanese,1	
Japans,1	
Jay,3	
Jeanswear,1	
Jeb,1	
Jeff,6	
Jeffrey,3	
Jen,1	
Jennifer,2	
Jerome,3	
Jersey,2	
Jesdanun,1	
Jesse,1	
Jewelry,1	
Jim,2	
Jimmy,2	
Joan,1	
Joe,2	
Joel,2	
Johannesburg,1	
John,10	
Johnson,7	
Jonathan,5	
Jones,7	
Jordan,1	
Joseph,4	
Josh,3	
Jourova,4	
Joyce,1	
Juanita,1	
Jubilee,1	
Judas,1	
Judge,2	
Judiciary,11	
Julian,1	
Julie,1	
June,3	
Justice,17	
Justin,1	
Kanupriya,1	
Kaplan,2	
Karsonya,1	
Kasich,1	
Kasper,1	
Kass,3	
Katarina,2	
Kate,2	
Keith,2	
Kelly,1	
Ken,2	
Kennedy,1	
Kenobi,1	
Kenya,5	
Kenyan,1	
Kenyas,1	
Kenyatta,1	
Kevin,1	
Keyhole,2	
Khanh,1	
Khosrowshahi,1	
King,4	
Kings,3	
Kirby,1	
Kirsten,1	
Kiss,1	
Klobuchar,1	
Knight,4	
Known,1	
Kogan,10	
Kongs,1	
Korea,1	
Korean,1	
Kuala,1	
Kubrick,5	
Kubricks,2	
Kudlow,1	
Kujawa,1	
Kushner,1	
Kwame,1	
Kyle,1	
LANCZ,2	
LEUTHOLD,1	
LIBERTYVIEW,1	
LLC,1	
LONDON,6	
LStar,2	
Labor,1	
Labour,1	
Labs,3	
Lachapelle,1	
Lake,1	
Larry,3	
Later,1	
Latest,6	
Law,2	
Leadership,1	
League,5	
Leap,1	
Lee,1	
LegiStorm,1	
Lenin,1	
Leninist,1	
Leonard,2	
Leslie,1	
Lesser,1	
Lester,1	
Leuthold,1	
Lewis,2	
Liam,1	
Liberties,3	
Life,2	
Lily,1	
Limiting,1	
Lincoln,1	
Lisa,1	
Listen,1	
Litt,4	
Live,4	
Lodging,2	
London,14	
Londons,1	
Longfin,1	
Longmeadow,1	
Looking,3	
Lookout,2	
Lord,1	
Los,2	
Lost,2	
Lou,3	
Louis,1	
Loyola,1	
Lucy,1	
Luff,2	
Luiz,1	
Lula,1	
Lumpur,1	
Luongo,1	
Luther,1	
Lyft,3	
Lyndon,1	
MAD,1	
MANAGEMENT,2	
MANAGER,1	
MARKET,2	
MCCARTHY,1	
MECKLER,1	
MITs,1	
MORGANLANDER,1	
MSCI,1	
Mac,1	
Machine,1	
Macron,4	
Made,1	
Magazine,3	
Maggie,2	
Magic,1	
Magistrates,1	
Mail,1	
Main,2	
Major,2	
Makan,1	
Makini,2	
Malaysia,2	
Maler,1	
Mali,1	
Malwarebytes,1	
Management,6	
Manager,1	
Manfredi,2	
Manhattan,1	
Many,3	
Marber,6	
Marc,1	
March,28	
MarchBALTIMORE,1	
Margrethe,1	
Marjory,1	
Mark,61	
Markets,1	
Marley,2	
Marlne,1	
Martin,7	
Mary,2	
Maryland,4	
Masa,1	
Mass,3	
Massachusetts,8	
Matt,3	
Matthews,7	
Max,1	
May,10	
Maybe,5	
Mayree,1	
Mays,1	
McCool,2	
McSweeny,2	
Meanwhile,1	
Media,5	
Meet,1	
Meghan,1	
Meituan,1	
Melinda,1	
