word,count	
abandoned-facebook,1	
ability-forgive,1	
abstaining-products,1	
abuse-lose,1	
abuse-speaking,2	
abused-pleaded,1	
access-million,1	
access-money,1	
access-personal,1	
access-saying,1	
according-bruzzese,1	
according-data,1	
according-iphone,1	
according-january,1	
according-keyhole,2	
account-active,1	
account-favor,1	
account-followers,1	
account-lose,1	
account-march,1	
account-named,1	
account-someone,1	
account-went,1	
accountable-knight,1	
accounting-experiments,1	
accounts-also,1	
accounts-online,1	
accounts-retweeted,1	
accounts-revelations,1	
accounts-securely,1	
accounts-still,1	
accuse-former,2	
acknowledged-irony,1	
active-instagram,1	
activist-iphone,1	
activist-los,1	
activists-called,1	
activity-criminals,1	
actress-alyssa,1	
actually-better,1	
added-immediately,1	
adrian-cap,1	
adults-pew,1	
adults-use,1	
advance-supreme,1	
advertisements-kind,1	
advocates-hype,1	
afforded-federal,1	
aficionados-blockchains,1	
agency-range,1	
aid-identity,1	
aimed-getting,1	
aimed-transforming,1	
allowed-hold,1	
allows-certain,1	
allows-information,1	
allows-ownership,1	
allows-people,1	
also-companys,1	
also-lives,1	
also-makes,1	
also-popular,1	
also-rely,1	
also-supported,1	
also-warned,1	
alter-existing,1	
altered-see,1	
alyssa-sent,1	
amazon-didnt,1	
amazon-google,1	
amazon-recently,1	
amazon-services,1	
amazon-shooting,1	
american-adults,2	
amid-backlash,1	
analysis-nearly,1	
analysis-tweets,1	
analytica-broke,1	
analytica-improperly,2	
android-device,1	
android-phone,1	
android-phones,1	
android-software,1	
angela-walch,1	
angeles-called,1	
angeles-recently,1	
animating-force,1	
announced-project,1	
announced-team,1	
another-service,1	
another-warned,1	
anson-announced,1	
answer-called,1	
answers-close,1	
anyone-even,1	
anything-recent,1	
apace-motivated,1	
app-android,1	
apple-amazon,2	
apple-boycott,1	
apple-february,1	
apple-recently,1	
apples-allowed,1	
applied-problems,1	
apply-blockchain,1	
apply-nratv,1	
apps-whatsapp,1	
argues-blockchains,1	
army-days,1	
arrangement-also,1	
ask-actually,1	
asked-think,1	
asked-wanted,1	
assemble-data,1	
association-service,1	
athlete-break,1	
attempt-back,1	
attempt-eliminate,1	
attempt-pry,1	
attended-youngster,1	
attention-instagram,1	
aug-googles,1	
august-came,1	
august-showed,1	
authority-theory,1	
avoided-site,1	
away-something,1	
babe-ruth,2	
back-alter,1	
backlash-problem,1	
bad-bitcoin,1	
banks-governments,1	
bannister-first,1	
baseball-army,1	
baseball-counteracted,1	
baseball-racially,1	
based-decentralized,1	
baseman-negro,1	
basic-details,1	
bedeviled-time,1	
began-boycotting,1	
beginning-understand,1	
begun-missing,1	
behind-project,1	
behind-several,1	
benchmark-circa,1	
benefits-internet,1	
best-catcher,1	
best-first,1	
better-measurably,1	
beyond-pilot,1	
big-internet,2	
big-tech,1	
biggest-internet,1	
billion-dollars,1	
bitcoin-aficionados,1	
bitcoin-blockchain,4	
bitcoin-people,1	
bitcoin-solve,1	
bitcoin-transactions,1	
bitcoin-virtual,1	
bitcoin-wallets,1	
black-babe,1	
block-built,1	
blockchain-advocates,1	
blockchain-allows,1	
blockchain-attempt,2	
blockchain-based,1	
blockchain-created,1	
blockchain-creator,1	
blockchain-data,1	
blockchain-database,1	
blockchain-development,1	
blockchain-efforts,1	
blockchain-even,1	
blockchain-experiments,1	
blockchain-going,1	
blockchain-help,1	
blockchain-imitators,1	
blockchain-industry,1	
blockchain-model,1	
blockchain-projects,5	
blockchain-questions,1	
blockchain-technologies,1	
blockchain-technology,1	
blockchain-unintended,1	
blockchain-whats,1	
blockchains-applied,1	
blockchains-make,1	
blocks-chained,1	
blocks-data,1	
blocks-information,1	
blockstack-company,1	
blockstack-york,1	
bloomberg-former,1	
blunt-proved,1	
board-education,1	
book-blockchain,1	
bothered-way,1	
boycott-apple,1	
boycott-certain,1	
boycott-company,1	
boycott-cue,1	
boycott-exactly,1	
boycott-products,1	
boycotting-amazon,1	
boycotts-big,1	
bradley-tusk,1	
braved-crowds,1	
break-mile,1	
