word,count	
ABC,4	
AMLO,1	
ANAYAThe,1	
ANGELES,2	
ANTONIO,1	
Abelardo,1	
According,1	
Accrediting,3	
Achille,1	
Acrimony,2	
Act,2	
Action,6	
Adam,1	
Additional,5	
Administrator,2	
Adventures,1	
Advisory,1	
Advocates,1	
Affairs,3	
Afghan,1	
Afghanistan,2	
Africa,2	
African,1	
Agency,4	
Agents,1	
Agreement,5	
Alabama,5	
Alabamas,3	
Alex,1	
Alexa,2	
Alison,1	
AllianceBernstein,1	
Also,1	
Alter,1	
Although,1	
Alton,1	
Amazon,3	
Amazons,2	
Amendment,1	
America,10	
American,44	
Americans,12	
Americas,1	
Amie,1	
Among,1	
Anaya,4	
Andover,1	
Andres,4	
Andrews,1	
Angelo,1	
Anglican,2	
Angrisani,4	
Animation,1	
Another,1	
Antonio,2	
Anushri,1	
Apple,1	
April,12	
Arabia,1	
Aramco,1	
Archbishop,1	
Ariana,1	
Arizona,1	
Arkansas,1	
Armed,2	
Army,2	
Arrivals,4	
Arthur,2	
Ashby,3	
Ashland,1	
Asia,4	
Asian,2	
Asked,1	
Associated,6	
Association,7	
Athletes,1	
Atlanta,1	
Atlantic,1	
Aurora,1	
Austin,1	
Australia,6	
Australian,3	
Australians,2	
Australias,1	
Authentic,1	
Authority,3	
Autnoma,1	
Autopilot,1	
Avenue,2	
Ayres,2	
BEACH,4	
BEIJING,4	
BERRYVILLE,1	
BFG,1	
Back,1	
Baek,1	
Bam,1	
Bancroft,2	
Band,1	
Bank,5	
Banks,2	
Bankss,1	
Barack,6	
Barbara,2	
Barbera,1	
Baton,1	
Batsman,1	
Bauer,1	
Beach,12	
Bedford,2	
Beijing,12	
Belgium,1	
Bell,1	
Belt,1	
Ben,4	
Benito,2	
Berman,1	
Berryville,2	
Betsy,1	
Beverly,1	
Biden,2	
Big,1	
Bill,3	
Black,3	
Blanchard,1	
Bloomberg,4	
Blue,1	
Board,1	
Bob,1	
Bolton,3	
Booker,2	
Border,10	
Borneo,1	
Bouchon,1	
Bowl,2	
Bowman,2	
Box,1	
Bradman,1	
Brady,1	
Brandon,2	
Brands,1	
Breads,1	
Bremer,1	
Brennan,2	
Brewery,1	
Brian,2	
Bridge,2	
Briefing,4	
Briefings,1	
Britain,3	
British,3	
Broadcasting,2	
Brooklyn,4	
Bros,3	
Brown,1	
Browse,1	
Bruce,1	
Buildings,1	
Bullwinkle,1	
Bundo,1	
Bureau,1	
Bushmaster,2	
BuzzFeed,1	
Buzzfeed,1	
CIA,1	
CITY,1	
CIUDAD,1	
CNN,1	
Cabinet,3	
Cafe,1	
California,2	
Californias,1	
Cameron,2	
Campaign,1	
Canada,6	
Canadian,1	
Candu,1	
Candy,1	
Cape,1	
Capital,2	
Capitol,3	
Caravan,1	
Caravans,2	
Career,1	
Carl,1	
Carlos,2	
Carolina,5	
Carter,1	
Casey,1	
Cashman,3	
CasselmanJerome,1	
Catch,2	
Cathedral,2	
Catholic,1	
Center,4	
Central,6	
Century,4	
Cerberus,1	
Chamber,1	
Chang,1	
Chapter,1	
Charles,11	
Charleston,1	
Charlie,2	
Chase,1	
Cheniere,1	
Chiapas,1	
Chicago,2	
Chicagos,1	
Childhood,4	
China,30	
Chinas,1	
Chinese,23	
Cho,4	
Choe,1	
Chris,3	
Christian,1	
Christians,1	
Christie,4	
Christine,2	
Christopher,1	
Chuck,2	
Chung,2	
Church,5	
Citizens,1	
Citizenship,1	
City,9	
Ciudad,7	
Clark,1	
Clarks,1	
Cleave,1	
Clifford,1	
Cline,2	
Clinton,2	
Clintons,2	
Cloud,1	
Club,2	
Coffman,2	
Coghill,1	
Cohn,1	
Colavita,1	
College,1	
Colleges,5	
Colorado,1	
Colorados,1	
Columbia,1	
Coming,1	
Commerce,3	
Commission,2	
Committee,5	
Committees,1	
Communist,3	
Companies,5	
Company,3	
Comstock,3	
Comstocks,1	
Concho,1	
Congress,22	
Congressional,2	
Connecticut,2	
Consider,1	
Constitution,1	
Contact,1	
Conway,1	
Cooke,1	
Cooney,2	
Coons,2	
