word,count	
ABC,2	
ABCs,2	
ABLE,1	
ABTop,1	
ACAPULCO,1	
ACEs,2	
ACLU,3	
ACT,1	
ADO,1	
ADVENTUROUS,1	
AGE,1	
AIA,1	
ALBANY,1	
ALOE,1	
ALWAYS,1	
AMC,1	
AMENDMENT,1	
AMERICAN,1	
AMSTERDAM,1	
ANC,6	
ANGELES,2	
ANKARA,2	
ANN,1	
APs,1	
ARBOR,1	
ARGUMENTS,2	
AROCENA,1	
ART,1	
ARs,3	
ASAE,1	
ASHEVILLE,1	
ASSEMBLY,1	
ATF,10	
ATLANTA,1	
ATLANTIC,1	
AUGUSTA,1	
AVERY,1	
AVIV,1	
Aaron,12	
Abbas,2	
Abbi,1	
Abbott,3	
Abdi,1	
Abdo,1	
Abdoul,1	
Abdullaev,5	
Abdullaevs,4	
Abdullah,1	
Abernathy,2	
Aberra,1	
Abigail,4	
Abilify,1	
Abington,1	
Ableism,1	
Ableist,1	
Aboah,1	
Abraham,5	
Abrons,2	
Absent,1	
Absinthe,1	
Absolutely,2	
Abu,9	
Academy,1	
Acapulco,5	
Accenture,1	
According,8	
Account,1	
Accountability,1	
Accused,1	
Acevedo,1	
Achieving,1	
Ackmans,1	
Across,2	
Act,33	
Acting,1	
Action,17	
Active,2	
ActiveStills,1	
Activism,1	
ActivismThe,1	
Actor,18	
Actress,14	
Acts,1	
Actually,2	
Adam,14	
Adams,3	
Add,1	
Addiction,1	
Addictions,1	
Addison,4	
Additional,6	
Adler,2	
Adm,1	
Administration,7	
Administrator,1	
Admiral,1	
Admission,1	
Adrijana,1	
Ads,4	
Adults,1	
Advancement,1	
Adventist,1	
Advice,1	
Adviser,1	
Advisors,1	
Advocates,2	
Adwoa,1	
Aeroflot,4	
Affairs,6	
Affordable,2	
Afghan,3	
Afghanistan,2	
Afield,1	
Africa,24	
African,43	
Africans,13	
Africas,3	
Africom,1	
Afscme,1	
Afterward,3	
Agatha,1	
Age,3	
Agency,15	
Agent,9	
Agents,2	
Aghdam,90	
Aghdams,4	
Agim,1	
Agnifilo,1	
Agreement,7	
Agriculture,1	
Agustin,2	
Agustinus,1	
Ahmad,3	
Ahmed,1	
Aided,1	
Aidi,2	
Aim,1	
Aims,1	
Ainsworth,1	
Air,16	
Airlines,1	
Airport,3	
Aiyo,1	
Aja,1	
Ajani,1	
Akhtar,1	
Akram,1	
Akron,1	
Ala,1	
Alabama,4	
Alameda,1	
Alan,1	
Alaniz,1	
Alanna,1	
Albania,2	
Albanian,3	
Albanians,4	
Albans,1	
Albany,4	
Albemarle,1	
Albert,4	
Alberta,2	
Albuquerque,1	
Alckmin,1	
Alcohol,7	
Aleksei,1	
Alencar,1	
Aleppo,1	
Alerts,1	
Alex,11	
Alexa,9	
Alexander,7	
Alexandra,4	
Alexandre,1	
Alexandria,1	
Alexis,4	
Alfred,1	
Algeciras,3	
Ali,3	
Alibaba,1	
Alice,7	
Alikaranti,1	
Alisher,1	
Alison,5	
Alistair,2	
Allan,1	
Allen,19	
Alley,1	
Alliance,1	
Allison,2	
Allman,3	
Ally,1	
Alma,1	
Almeida,2	
Almost,4	
Aloise,8	
Along,2	
Alpert,1	
Alpha,1	
AlphaBay,1	
Alphabet,9	
Alphonso,1	
Also,7	
Alston,2	
Alsup,2	
Alteration,1	
Although,5	
Altintas,1	
Alton,6	
Aluisio,1	
Alvarez,1	
Always,2	
Alyssa,2	
Alzheimers,1	
Amalgamated,3	
Amalgamateds,1	
Amanda,4	
Amar,3	
Amazon,36	
Amazons,3	
Ambassador,9	
Ambien,1	
Ambiguity,1	
Amburgey,4	
Amendment,20	
AmeriSpeak,2	
America,28	
American,137	
Americans,26	
Americas,8	
Amezcua,1	
Amherst,3	
Amid,2	
Amir,4	
Amlen,1	
Amnesty,3	
Among,16	
Amsale,1	
Amsterdam,1	
Amy,9	
Ana,2	
Anabelle,1	
Anadolu,1	
Anaheim,1	
Analytica,14	
Anarchist,1	
Anastasia,1	
Anaya,3	
Anbang,1	
Anchor,1	
Anchors,1	
Anderson,4	
Andijon,1	
Andre,4	
Andrea,2	
Andrei,1	
Andres,4	
Andrew,25	
Andrews,3	
Andrey,1	
Andrika,1	
Android,7	
Andy,2	
Angel,1	
Angeles,36	
Angelica,1	
Angelo,1	
Anger,1	
Angie,2	
Anglicized,1	
Anglin,4	
Anguiano,1	
Anguilla,1	
Angus,2	
Animals,1	
Ankara,2	
Ankur,1	
Ann,2	
Anna,24	
Annas,8	
Anne,2	
Annie,3	
Annihilation,1	
Anodyne,1	
Another,18	
Anschluss,1	
Anselmo,1	
Antczak,2	
Anthony,9	
Antoin,1	
Antonio,8	
Antonoff,1	
Anufriev,3	
Anya,1	
Anyone,2	
Anything,3	
Aparna,1	
Apart,1	
Apartments,2	
Apodaca,1	
Apollo,1	
App,2	
Appalled,1	
Appeal,1	
Appeals,6	
Apple,31	
Appleby,1	
Apples,3	
Approved,1	
April,96	
Aprils,1	
Apuzzo,1	
Aquinas,1	
Arab,4	
Arabia,10	
Arabic,4	
Aragao,1	
Aramaco,1	
Arbroath,1	
Arc,1	
Architects,3	
Architectural,1	
Architecture,13	
Architectures,2	
Arctic,1	
Ardalan,1	
Area,9	
Arfa,1	
Ariane,1	
Aricka,1	
Ariella,1	
Arike,1	
Aristotle,1	
Arivaca,1	
Ariz,3	
Arizona,17	
Arizonas,1	
Arkady,1	
Arkansas,2	
Arkin,1	
Arko,1	
Arlee,34	
Arlees,6	
Arlia,6	
Arline,1	
Armed,1	
Armen,1	
Armory,1	
Arms,4	
Armstrong,1	
Army,19	
Arnette,1	
Arnold,1	
Arnspiger,2	
Arnulfo,1	
Arocena,2	
Around,3	
Arps,2	
Arreaza,4	
Arrested,1	
Arrivals,6	
Arriving,1	
Arron,1	
Arrow,1	
Ars,2	
Arson,1	
Art,8	
Artemis,1	
Artemisia,1	
Arthur,3	
Article,1	
Articles,1	
Arts,8	
Artur,1	
Artworks,2	
Arusha,1	
Aryans,1	
Asa,1	
Ashby,3	
Ashcrofts,1	
Asheville,5	
Ashland,1	
Ashley,8	
Ashton,1	
Asia,13	
Asian,13	
Asif,1	
Asked,2	
Asking,1	
Aspen,3	
Assads,1	
Assassination,2	
Assault,3	
Assembly,5	
Assemblyman,2	
Assemblywoman,2	
Asserting,2	
Assiniboine,1	
Assistant,4	
Associate,1	
Associated,31	
Associates,2	
Association,31	
Assuming,1	
Astros,1	
Astrup,1	
Athens,1	
Athletic,1	
Athletics,1	
Atilla,7	
Atlanta,12	
Atlantic,13	
Atlantics,2	
AttackMs,1	
AttacksDavid,1	
Attorney,43	
Attorneys,2	
Atunara,2	
Auchard,1	
Audi,1	
Audience,1	
Audrey,4	
Audreys,1	
Aug,4	
August,17	
Augusta,1	
Augustine,1	
Aurora,2	
Auschwitz,2	
Austin,11	
Austintown,1	
Australia,10	
Australian,10	
Austria,1	
Austrian,5	
Austrias,1	
Authentic,1	
Author,2	
Authorities,24	
Authority,6	
Authors,1	
Autumn,1	
Avalos,1	
Avenue,16	
Average,1	
Avery,2	
Avett,1	
Avi,1	
Avitto,4	
Aviv,16	
Awards,1	
Awareness,2	
Axios,1	
Ayala,2	
Aye,1	
Aziz,1	
BALTIMORE,2	
BANGKOK,2	
BAPTISM,1	
BASEBALL,1	
BATON,2	
BATS,1	
BBC,7	
BEACH,1	
BEIRUT,1	
BELTSVILLE,1	
BERLIN,1	
BERNARDO,1	
BERRYVILLE,1	
BEST,1	
BFM,2	
BHATIA,1	
BILL,1	
BJP,10	
BJS,2	
BLA,1	
BLOOD,1	
BLUE,1	
BLula,1	
BNM,2	
BOHEMIA,1	
BONLI,2	
BOSTON,2	
BRASILIA,1	
BRIGHTON,1	
BRUNO,5	
BSB,1	
BTIG,1	
Baby,1	
Bache,4	
Back,10	
Bad,2	
Bader,1	
Badrena,2	
Bahai,1	
