word,count	
aaron-burr,1	
abandoned-facebook,1	
abandoned-five,1	
abandoned-israeli,1	
ability-november,1	
able-help,1	
able-outvote,1	
abortion-clinic,1	
abroad-british,1	
abroad-week,1	
absence-crew,1	
abstaining-products,1	
abuse-perpetrated,1	
abuse-recent,1	
abuse-regrets,1	
abuse-within,1	
accelerated-indian,1	
access-madison,1	
access-sealed,3	
accidentally-blows,1	
accidentally-million,1	
accolades-playing,1	
accommodate-moment,1	
according-analysis,1	
according-bbc,1	
according-brennan,1	
according-bruzzese,1	
according-court,2	
according-customs,1	
according-iphone,1	
according-israeli,1	
according-january,1	
according-kashmir,1	
according-keyhole,2	
according-officials,1	
according-private,1	
account-active,1	
account-favor,1	
account-followers,1	
account-march,1	
account-named,1	
account-went,1	
accountable-knight,1	
accounts-retweeted,1	
accounts-revelations,1	
accounts-still,1	
accurate-bellwether,1	
accusations-sebastian,1	
accusing-esty,1	
achieving-political,1	
acknowledged-irony,1	
acknowledged-made,1	
acknowledged-using,1	
acquittal-federal,1	
across-capital,1	
across-country,1	
across-secure,1	
across-southern,1	
across-three,1	
act-sharing,1	
action-authority,1	
action-center,1	
action-childhood,1	
action-dmv,1	
action-items,1	
action-rather,1	
actions-part,1	
actions-perpetrated,1	
actions-qualify,1	
actions-shone,1	
active-group,1	
active-instagram,1	
active-students,1	
activism-often,1	
activism-showing,1	
activist-iphone,1	
activist-los,1	
activist-rally,1	
activists-called,1	
activists-researching,1	
actors-carried,1	
actors-leave,1	
actress-alyssa,1	
acts-government,1	
adam-lanza,1	
adaptation-ian,1	
added-immediately,1	
added-possess,1	
added-well,1	
adding-hoped,1	
adding-threat,1	
adding-woman,1	
additional-mental,1	
additional-reporting,1	
address-fate,1	
addressed-britain,1	
addressed-questions,1	
adhered-door,1	
administration-american,1	
administration-congress,1	
administration-departure,1	
administration-got,1	
administration-reassesses,1	
administrative-color,1	
adopting-recusal,1	
ads-based,1	
ads-mailings,1	
ads-race,1	
adult-immigrants,2	
adults-pew,1	
adults-use,1	
advance-forward,1	
advance-june,1	
advantage-daca,1	
adventures-bittersweet,1	
adversaries-countrys,1	
adversaries-eventually,1	
adversaries-tire,1	
advertising-messages,1	
advisers-urging,1	
advisory-firm,1	
advocacy-group,2	
advocacy-second,1	
advocate-movement,1	
advocates-school,1	
advocates-testing,1	
advocates-well,1	
advocating-gun,1	
aeroflot-passenger,1	
affairs-heres,1	
affect-allegations,1	
affect-claim,1	
affect-sandy,1	
affected-dont,1	
affecting-many,1	
african-american,1	
afternoon-news,1	
age-made,1	
age-movements,1	
age-week,1	
agencies-bomb,1	
agencies-brokered,1	
agencies-countrys,1	
agencies-october,1	
agency-lament,1	
agenda-court,1	
agenda-trumpian,1	
agent-believe,1	
agent-designed,1	
agent-door,1	
agent-identified,1	
agent-originated,1	
agent-potent,1	
agent-provided,1	
agent-ran,1	
agent-sergei,1	
agent-without,1	
agents-allowed,1	
agents-intended,1	
agents-laboratories,1	
agents-officials,1	
ages-turned,1	
ago-handed,1	
ago-remain,1	
agree-town,1	
agreed-attack,1	
agreed-become,1	
agreed-dismissing,1	
agreement-renegotiated,1	
ahead-peek,1	
ahead-two,1	
ahmad-malik,1	
ahmad-protester,1	
aid-administration,1	
aim-bringing,1	
aim-protect,1	
aimed-specific,1	
air-fellow,1	
air-pollution,3	
aircraft-protect,1	
airport-british,1	
alan-norman,1	
alcohol-tobacco,2	
alexa-super,1	
alexander-litvinenko,1	
alice-cooper,1	
alive-armed,1	
alive-support,1	
allegation-bergen,1	
allegations-abuse,1	
allegations-alleged,1	
allegations-bocanegra,2	
allegations-democrats,1	
allegations-fabrications,1	
allegations-former,1	
allegations-made,1	
allegations-misconduct,1	
allegations-phone,1	
allegations-regrets,1	
allegations-shocking,1	
allege-mordaga,1	
alleged-illegal,1	
alleged-lagano,2	
allegedly-leading,1	
allegedly-run,1	
alleging-amount,1	
allies-british,1	
allies-expelled,1	
allies-thinking,1	
allow-photographs,1	
allowed-hold,1	
allowed-properly,1	
allowing-monks,1	
allows-save,1	
ally-walker,1	
almost-exactly,1	
almost-inextricably,1	
aloe-vera,1	
alone-changed,1	
along-gun,1	
along-internal,1	
along-mexico,1	
along-wholesaler,1	
already-long,1	
already-proved,1	
already-searing,1	
also-asserts,1	
also-ballot,1	
also-companys,1	
also-democrats,1	
also-died,2	
also-esty,1	
also-excellent,1	
also-known,1	
also-lives,1	
also-named,1	
also-popular,1	
also-protested,1	
also-race,1	
also-refused,1	
also-released,1	
also-running,1	
also-spoke,1	
also-target,1	
also-vehicle,1	
also-wants,1	
also-washington,1	
also-weighed,1	
also-wide,1	
also-wrote,1	
