word,count	
AGE,1	
ALOE,1	
Aaron,1	
Act,1	
Action,4	
Adam,1	
Additional,1	
Advocates,1	
Aeroflot,1	
African,1	
Agents,1	
Agreement,1	
Ahmad,2	
Airport,1	
Alan,1	
Alcohol,2	
Alexa,1	
Alexander,1	
Alice,1	
Although,1	
Alton,1	
Alyssa,1	
Amazon,7	
Amazons,1	
Amendment,1	
American,13	
Americans,2	
Americas,1	
Amy,1	
Analytica,1	
Anarchist,1	
Andres,1	
Andrew,1	
Android,4	
Angeles,6	
Anguiano,1	
Ankur,1	
Antczak,1	
Antonio,1	
Anything,3	
Apple,5	
Apples,1	
April,2	
Arabic,2	
Army,3	
Arrivals,1	
Arson,1	
Ashby,3	
Ashland,1	
Asian,1	
Assembly,2	
Assemblywoman,1	
Association,5	
Atlanta,1	
Aug,1	
August,2	
Aurora,1	
Austin,5	
Australian,1	
Authorities,2	
Authority,1	
BANGKOK,1	
BAPTISM,1	
BASEBALL,1	
BATS,1	
BBC,1	
BELTSVILLE,1	
BERRYVILLE,1	
BLOOD,1	
Baker,5	
Bank,5	
Banks,1	
Bankss,1	
Baptist,2	
Barack,1	
Barbara,3	
Bareilles,1	
Barnes,2	
Barrs,1	
Basketball,1	
Baton,1	
Bauer,1	
Beach,1	
Beltsville,3	
Ben,5	
Benedict,3	
Benitez,1	
Benjamin,1	
Bennet,1	
Bergen,2	
Berryville,2	
Bethany,2	
Bethlehem,1	
Bhatt,1	
Bible,1	
Biden,2	
Big,1	
Bishop,1	
Black,1	
Bloomberg,1	
Blumenthal,2	
Bocanegra,5	
Bollag,1	
Bomb,1	
Bonnie,1	
Booker,2	
Border,7	
Bornstein,1	
Bowl,1	
Boyz,4	
Brad,1	
Brady,1	
Brandon,2	
Breathe,1	
Breitbart,2	
Brennan,2	
Brian,1	
Briefing,2	
Briefings,1	
Brin,1	
Britain,3	
British,16	
Brooklyn,1	
Brunswick,1	
Bruzzese,1	
Bundo,1	
Bureau,2	
Burhan,1	
Burr,1	
Bushmaster,2	
Bysiewicz,2	
