word,count	
ability-advance,1	
ability-formulate,2	
ability-get,1	
abrupt-firing,1	
absence-commitment,1	
acceptance-red,1	
accepting-south,1	
access-automakers,1	
access-despite,1	
access-immediate,1	
access-market,1	
access-technology,1	
accomplish-objectives,1	
accomplish-shared,1	
accordance-international,1	
according-international,1	
according-local,1	
according-pool,1	
accusations-rights,1	
acknowledge-growing,1	
across-border,1	
across-china,1	
actions-may,1	
actions-undermine,1	
activists-organizations,1	
activities-complicate,2	
add-nasty,1	
adding-percent,1	
adding-worries,2	
additional-reporting,1	
administration-attorney,1	
administration-begins,1	
administration-harming,2	
administration-officials,1	
adopted-country,1	
advance-interests,1	
adviser-choose,1	
adviser-liu,1	
advocates-supports,1	
aerospace-communications,1	
aerospace-corp,1	
aerospace-industry,1	
afraid-years,1	
africa-southern,1	
agency-forecast,1	
agency-happen,1	
aggressive-direct,1	
aggressive-posture,1	
aggressively-pushing,1	
agree-special,1	
agreed-settling,1	
agreed-week,1	
agreement-meet,1	
agreement-place,1	
agreement-reached,1	
agreement-resolving,1	
agreement-side,1	
ahead-impeachment,1	
ahead-planned,1	
aides-gamed,1	
aides-parties,1	
aides-privately,1	
aims-place,1	
air-force,1	
aircraft-engines,1	
alarming-many,1	
alison-bevege,1	
allegations-beijing,1	
allies-asia,1	
allies-need,1	
allies-still,1	
allow-mueller,1	
allowed-see,1	
ally-japan,1	
almonds-tariff,1	
almost-certainly,1	
alone-may,1	
along-four,1	
already-feel,1	
also-areas,1	
also-attorney,1	
also-fear,1	
also-lay,1	
also-lifted,1	
also-made,1	
also-marched,1	
also-tracked,1	
also-visited,1	
aluminum-following,1	
aluminum-japan,1	
aluminum-scrap,1	
aluminum-tariffs,1	
aluminum-took,1	
amazon-alarming,1	
amazon-wield,1	
ambitions-missile,1	
ambitious-space,1	
america-range,1	
american-bourbon,1	
american-demand,1	
american-intellectual,1	
american-pork,1	
americans-cannot,1	
amid-growing,2	
amid-heightened,2	
amid-ongoing,1	
amid-rising,1	
among-hundreds,1	
among-isolated,1	
among-loyal,1	
amounted-likely,1	
analysis-get,1	
andrew-roche,1	
angered-countries,1	
announcement-chinese,1	
announcement-month,1	
another-garber,1	
another-investigator,1	
another-politician,1	
another-trusted,1	
anything-china,1	
anything-clear,1	
apparently-even,1	
appeal-concern,1	
appeal-firing,1	
appeal-voters,1	
appearance-north,1	
appearance-part,1	
appeared-landed,1	
apples-almonds,1	
approval-possible,1	
approving-possible,1	
april-ahead,1	
area-thousands,1	
areas-many,1	
areas-mutual,1	
areas-vigorous,1	
argument-justice,1	
argument-technology,1	
arizona-republican,1	
around-gmt,1	
