word,count	
Additional,1	
Aerospace,1	
Africa,1	
Agency,1	
Air,1	
Alison,1	
Amazon,2	
America,1	
American,4	
Americans,1	
Andrew,1	
April,1	
Arizona,1	
Asia,4	
Associated,1	
Athletes,1	
Atlantic,1	
Australia,2	
Australian,1	
BEIJING,4	
BERLIN,1	
Band,1	
Bank,1	
Beijing,9	
Ben,1	
Bevege,1	
Bilateral,1	
Binh,2	
Blanchard,1	
Brad,1	
Brazilian,1	
Canada,2	
Capitol,1	
Carolina,2	
China,38	
Chinese,21	
Chris,1	
Christian,1	
Clarence,1	
Commerce,1	
Committee,2	
Committees,1	
Communist,2	
Congress,10	
Control,1	
Coons,2	
Corp,1	
Cynthia,1	
DVDs,1	
David,1	
Defence,1	
Delaware,1	
Democrat,5	
Democratic,2	
Democrats,5	
Department,4	
Departments,1	
Deputy,1	
Donald,6	
Earth,5	
East,1	
Editing,4	
Elizabeth,4	
Europe,2	
European,4	
Even,2	
February,4	
Fernandez,1	
Finance,3	
Flake,4	
Force,1	
Foreign,5	
France,1	
Friday,1	
GMT,3	
Games,1	
Gangnam,1	
Garber,4	
George,1	
Germany,1	
Global,2	
Goodlatte,1	
Graham,1	
Grand,1	
Gutirrez,1	
HANOI,2	
Heavenly,2	
Hill,1	
Hollywood,1	
House,4	
III,2	
Illinois,1	
Investment,1	
Italy,1	
January,1	
Japan,5	
Jeff,2	
Jerrold,1	
Jiechi,1	
Jinping,2	
Jonathan,1	
Jong,2	
Judiciary,3	
Justice,4	
Khanh,1	
Kim,14	
Kims,5	
Korea,20	
Korean,33	
Koreans,3	
Koreas,4	
Lawmakers,1	
Liberals,1	
Lindsey,1	
Liu,2	
Luis,1	
Lunar,1	
Malaysia,1	
March,8	
Massachusets,1	
Massachusetts,1	
Massacre,1	
May,1	
Michael,1	
Minh,5	
Minister,5	
MinisterWang,1	
Ministry,4	
Monday,9	
Moon,3	
Moranbong,1	
Mueller,19	
Muellers,4	
Nadler,1	
National,1	
Night,1	
Nixon,1	
North,29	
Northeast,1	
Norths,1	
Oatis,1	
Olympics,1	
Options,1	
Organization,1	
Pacific,2	
Palace,2	
Park,1	
Party,1	
Paul,2	
Paulo,1	
Pham,2	
Philippines,1	
President,12	
Press,1	
Prime,1	
Psy,1	
Pyongyang,9	
Red,6	
Relevant,1	
Representative,2	
Republican,6	
Republicans,3	
Reuters,2	
Rex,1	
Richard,1	
Rio,1	
Robert,3	
Roche,1	
Rod,1	
Rosenstein,2	
Ross,1	
Russia,1	
Russian,1	
Ryan,1	
SEOUL,2	
SHANGHAI,1	
Sao,1	
Saturday,3	
Schmollinger,1	
Sea,6	
Sen,2	
Senator,6	
Seoul,2	
September,1	
Sessions,3	
Shanghai,1	
Society,1	
South,51	
Souths,1	
Space,2	
Speaker,1	
Squadron,1	
Stanway,1	
State,2	
States,12	
Still,1	
Style,1	
Sunday,12	
Switzerland,1	
Tahiti,1	
Tait,1	
Taiwan,1	
Theater,1	
Thom,1	
Thursday,1	
Tiangong,6	
Tillerson,1	
Tillis,1	
Times,2	
Tokyo,1	
Trade,1	
Trump,24	
Trumps,2	
Tucker,1	
Tuesday,1	
Union,2	
United,13	
Velvet,6	
Vietnam,9	
Vietnamese,2	
Virginia,1	
WASHINGTON,1	
WTO,1	
Wallace,1	
Wang,3	
Warren,11	
Washington,6	
Watergate,1	
Wei,1	
Western,2	
Whether,1	
White,3	
Winter,2	
Without,1	
World,1	
Yang,1	
Year,1	
Yeri,1	
Yerim,1	
Yisaid,1	
York,1	
Zhu,1	
Zongpeng,1	
ability,4	
abrupt,1	
absence,1	
abuses,1	
acceptance,1	
accepting,1	
access,5	
accomplish,2	
accordance,1	
according,3	
accusations,1	
acknowledge,1	
across,2	
actions,2	
activists,1	
activities,2	
add,1	
adding,3	
administration,5	
adopted,1	
advance,1	
adviser,2	
advocates,1	
aerospace,2	
affected,1	
afraid,1	
agency,1	
aggressive,2	
aggressively,1	
agree,1	
agreed,2	
agreement,5	
ahead,2	
aides,3	
aims,1	
aircraft,1	
alarming,1	
allegations,1	
allies,3	
allow,1	
allowed,1	
ally,1	
almonds,1	
almost,1	
alone,1	
along,1	
already,1	
also,9	
aluminum,5	
ambitions,1	
ambitious,1	
amid,6	
among,3	
amounted,1	
analysis,1	
angered,1	
announcement,2	
another,4	
anything,2	
apparently,1	
appeal,3	
appearance,2	
appeared,1	
apples,1	
approval,1	
approving,1	
area,1	
areas,3	
argument,2	
around,1	
art,2	
artificial,2	
artillery,1	
asked,1	
aspect,1	
assumed,1	
assuming,1	
astrophysicist,1	
athletes,1	
atmosphere,7	
attack,1	
attempt,1	
attended,1	
attention,2	
attorney,3	
audience,1	
authoritarian,1	
authority,3	
automakers,1	
avoid,2	
back,2	
backing,1	
balcony,1	
ballistic,1	
band,1	
barriers,1	
base,1	
based,1	
basic,1	
become,1	
beef,1	
began,1	
begins,1	
better,2	
bigger,2	
biggest,1	
bilateral,4	
billion,14	
bits,1	
boost,1	
border,2	
bourbon,1	
branch,3	
break,1	
breakthrough,1	
brief,1	
briefing,1	
bring,1	
bringing,1	
broadcast,1	
budget,1	
build,2	
building,1	
burn,1	
burned,1	
burnt,4	
busiest,1	
business,1	
butter,1	
buys,1	
call,1	
called,3	
calling,1	
campaign,1	
candidate,1	
cannot,3	
cant,1	
capitalist,1	
car,1	
careful,1	
carry,2	
cars,1	
case,2	
caught,1	
cause,1	
cellphone,1	
censorship,1	
censure,2	
certainly,1	
chairman,1	
chairmanship,1	
challenge,2	
challenging,1	
chamber,1	
chances,2	
change,2	
chaos,2	
chaotic,2	
cheerleaders,1	
chief,1	
chips,2	
chirpy,1	
choice,1	
choose,1	
cite,1	
cities,1	
citizens,1	
claim,2	
claims,1	
clapped,2	
clapping,1	
clash,1	
clear,2	
close,1	
closely,1	
closer,2	
coast,1	
coherent,2	
colleagues,2	
combined,2	
comes,3	
coming,1	
comment,1	
commerce,1	
commitment,2	
committee,1	
committees,1	
communications,1	
community,1	
companies,4	
compared,1	
competitive,1	
competitors,1	
complaints,2	
complex,1	
complicate,3	
components,1	
computer,1	
computers,1	
comrades,1	
concern,1	
concerned,1	
concert,5	
conference,1	
confirmed,1	
congressional,2	
consequences,2	
consequential,1	
considered,1	
consistent,1	
constitutional,1	
contact,1	
containing,1	
contempt,1	
continue,2	
continued,1	
control,5	
controls,1	
cooperation,3	
coordination,1	
corps,2	
counsel,11	
counsels,1	
counterpart,1	
counterparts,1	
countries,7	
country,5	
course,1	
covering,1	
crackdown,2	
craft,3	
creative,1	
crew,1	
crewed,1	
crisis,1	
criticized,1	
critics,2	
crooners,1	
crossed,1	
crucial,1	
culture,3	
currency,1	
current,2	
cut,3	
damaged,1	
damaging,1	
dance,1	
dangers,1	
data,2	
days,1	
deal,3	
dear,1	
debate,1	
debris,3	
decade,1	
decadent,1	
decades,3	
decide,3	
decision,1	
declare,1	
decline,1	
declined,1	
decommissioned,1	
definitely,1	
defunct,2	
degrees,2	
delayed,1	
demand,5	
demanding,2	
demands,1	
democracy,1	
denied,1	
denuclearization,1	
deny,1	
departed,1	
depend,1	
depress,2	
depressed,1	
deputy,2	
described,1	
designer,1	
despite,2	
details,2	
detects,1	
deter,1	
devaluation,1	
development,4	
deviated,1	
didnt,1	
different,2	
difficult,1	
diminished,1	
diplomat,2	
diplomatic,4	
direct,2	
directly,1	
director,1	
disbanded,1	
disclose,2	
discovered,1	
discuss,1	
discussed,1	
discussion,1	
discussions,1	
dismiss,2	
dismissal,2	
dispute,4	
disputes,11	
divisions,1	
divulging,1	
docking,2	
doesnt,1	
done,1	
dont,1	
downplay,1	
downside,1	
drafted,1	
dramas,1	
dramatic,1	
drilling,1	
drives,1	
drop,1	
drugmakers,1	
dtente,2	
duties,4	
ear,1	
earlier,6	
early,1	
economic,7	
economies,1	
economist,1	
economists,2	
economy,1	
effect,2	
effective,1	
effectively,2	
effort,1	
efforts,4	
either,1	
election,1	
elections,1	
elite,1	
emerged,1	
