word,count	
ALBUQUERQUE,1	
AMC,1	
AMISOM,5	
AMLO,1	
AMMAN,1	
ANAYAThe,1	
ANGELES,3	
ANSA,1	
ANTONIO,1	
ARLINGTON,1	
Aaron,1	
Abd,1	
Abdel,1	
Abdelaziz,2	
Abdi,1	
Abdul,1	
Abelardo,1	
Abu,4	
Abusada,1	
Academy,1	
Acclaimed,1	
Accrediting,3	
Acrimony,5	
Act,2	
Action,8	
Acton,2	
Actor,8	
Actress,4	
Actually,1	
Adam,1	
Additional,4	
Advanced,1	
Advisors,1	
Advisory,1	
Advocates,1	
Aeroflot,1	
Afghan,31	
Afghanistan,12	
Afghanistans,1	
Afghans,3	
Africa,2	
African,5	
Agency,1	
Agents,1	
Agha,1	
Agreement,5	
Ahmad,1	
Air,8	
Aircraftsman,1	
Airport,1	
Aji,1	
Aka,1	
Alabama,2	
Alawite,1	
Albert,2	
Alberto,1	
Aleppo,1	
Alex,1	
Alexa,2	
Alexander,1	
Alexandra,1	
Alfonso,1	
Ali,3	
Alice,1	
Alito,1	
Allen,1	
AllianceBernstein,1	
Allied,1	
Alma,1	
Almost,1	
Alter,1	
Alton,1	
Altuve,1	
Amazon,5	
Amazons,2	
Amendment,1	
America,14	
American,66	
Americans,16	
Americas,1	
Amie,1	
Amnesty,2	
Among,2	
Amsterdam,7	
Analysts,1	
Anaya,4	
Anchorage,1	
Andover,1	
Andres,4	
Andrew,4	
Andrews,2	
Andy,1	
Angel,2	
Angela,1	
Angeles,4	
Anglican,2	
Animation,1	
Ankaras,1	
Anna,1	
Anne,1	
Annette,1	
Another,3	
Antebellum,1	
Antonio,4	
Anything,1	
Apostle,3	
Apple,4	
Apples,1	
April,21	
Arab,2	
Arabia,1	
Arabic,2	
Aramco,1	
Arbenz,3	
Ark,1	
Armed,2	
Army,25	
Aron,1	
Arrivals,4	
Artema,1	
Arthur,1	
Asa,1	
Ashby,3	
Asia,2	
Asian,6	
Aside,1	
Assad,2	
Associated,2	
Association,7	
Astana,1	
Astros,2	
Asylum,1	
Athletes,1	
Atlanta,1	
Atlantic,1	
Aug,1	
August,1	
Augusto,1	
Aung,2	
Aurora,1	
Austin,1	
Australia,5	
Australian,2	
Australias,1	
Authority,2	
Autnoma,1	
Autopilot,1	
Avengers,1	
Avery,1	
Avigdor,2	
Aviv,1	
Award,2	
BACKErlin,1	
BAPTISM,1	
BASEBALL,1	
BBC,1	
BDP,2	
BEACH,3	
BEIJING,3	
BEIRUT,2	
BERLIN,1	
BERRYVILLE,1	
BFG,1	
BLOOD,1	
BOSTON,1	
BUCKWILD,1	
Baaghi,1	
Babur,4	
Back,1	
Baek,1	
Baltimore,2	
Band,1	
Bang,1	
Bani,1	
Banister,1	
Bank,7	
Banks,1	
Bankss,1	
Bantam,1	
Baptist,3	
Barack,3	
Barbara,2	
Barber,1	
Barbini,1	
Barbisan,1	
Bareilles,1	
Barely,1	
Barfield,1	
Barnes,1	
Barno,2	
Barrios,1	
Barrs,1	
Barry,2	
Bart,1	
Bartolo,1	
Bartolomeo,1	
Baseball,2	
Bashar,4	
Basilica,2	
Basketball,1	
Baton,1	
Battle,1	
Baxter,1	
Beach,8	
Beautiful,1	
Bedford,2	
Beijing,9	
Belgian,1	
Bell,1	
Belt,1	
Ben,9	
Bending,1	
Benedict,3	
Benioff,1	
Benito,2	
Benjamin,2	
Berating,1	
Berryville,2	
Bertelsen,1	
Bethany,2	
Bethlehem,1	
Betsy,1	
Bettis,1	
Beverly,1	
Bible,2	
Big,2	
Bijou,1	
Bilal,1	
Bilateral,1	
Bild,1	
Bill,2	
Billy,1	
Binh,1	
Bismarck,2	
Black,18	
Blanchard,1	
Blockers,2	
Bloomberg,2	
Blue,1	
Board,1	
Bob,1	
Bolton,3	
Bonham,1	
Border,13	
Borneo,1	
Boston,4	
Botswana,2	
Bouchon,1	
Bowl,3	
Box,1	
Boycott,1	
Boyle,1	
Brad,1	
Brady,1	
Branch,1	
Branchs,1	
Brandon,4	
Braun,2	
Bregman,1	
Brent,1	
Brewers,2	
Brian,3	
Bridge,1	
Brief,1	
Briefing,4	
Briefings,1	
Britain,12	
British,20	
Broadcasting,2	
Brokaw,1	
Brom,2	
Brooklyn,4	
Bros,2	
Brown,2	
Browse,1	
Bryan,1	
Bulamarer,2	
Bulls,1	
Bullwinkle,1	
Bundo,1	
Burr,1	
Burt,1	
Bus,1	
Butterfield,1	
BuzzFeed,1	
Buzzfeed,1	
Byzantine,1	
CBW,1	
CHILD,1	
CHRIST,1	
CITY,5	
CIUDAD,1	
COLD,1	
CONCERT,1	
Cadillac,1	
Cafe,1	
Cain,9	
California,2	
Californias,1	
Call,1	
Camembert,1	
Campaign,1	
Canaans,1	
Canada,6	
Canadian,1	
Canadians,1	
Canal,1	
Candy,1	
Cannon,1	
Capital,1	
Caravan,1	
Caravans,2	
Carbone,2	
Cardinals,1	
Career,2	
Carl,2	
Carlos,3	
Carnegie,1	
Carolina,3	
Carrefour,1	
Carter,1	
Casablanca,1	
Casey,2	
Cashman,3	
CasselmanJerome,1	
Castle,1	
Catch,2	
Cathedral,2	
Catherine,1	
Catholic,4	
Catholicism,1	
Catholics,1	
Celebrate,1	
Celtics,6	
Center,4	
Centers,1	
Centocelle,1	
Central,15	
Century,6	
Chad,4	
Chamber,2	
Chan,1	
Chancellor,1	
Chang,2	
Chaos,1	
Charles,3	
Charleston,1	
Charlie,3	
Chemical,1	
Chess,1	
Chiapas,1	
Chicago,6	
Chicagos,1	
Childhood,4	
China,34	
Chinas,1	
Chinese,21	
Cho,4	
Choe,1	
Chris,1	
Christ,6	
Christian,16	
Christians,3	
Christine,3	
Christmas,2	
Christopher,1	
Chuck,1	
Chung,2	
Church,9	
CinemaScore,2	
Citizens,1	
City,13	
Ciudad,7	
Civil,4	
Clark,1	
Clarks,1	
Classics,1	
Claudia,1	
Clayton,1	
Clearly,1	
Cleave,1	
Cleveland,1	
Cliff,1	
Clifford,1	
Clinton,2	
Clintons,2	
Club,1	
Coffee,1	
Coffman,2	
Col,1	
Cold,5	
Cole,4	
College,3	
Colleges,5	
Collins,1	
Colombia,1	
Colon,1	
Colorado,3	
Colorados,1	
Columbia,2	
Comcast,1	
Coming,2	
Commanders,1	
Commerce,2	
Commission,1	
Committee,4	
Common,1	
Communist,2	
Companies,1	
Company,3	
Competition,1	
Comstock,3	
Comstocks,1	
Concerts,1	
Confederate,1	
Conference,5	
Congo,1	
Congress,17	
Congressional,2	
Conn,1	
Connecticut,2	
Conroy,3	
Consider,1	
Contact,1	
Conway,1	
Cook,4	
Cooke,1	
Cooney,3	
Cooper,1	
Coordinating,1	
Coretta,1	
Corinthian,1	
Corona,1	
Corporation,1	
Corps,6	
Correa,1	
Council,6	
Country,2	
Court,6	
Courtin,1	
Cowan,2	
Cowboy,7	
Cpl,1	
Cradle,1	
Crazy,1	
Criminal,1	
Criticizing,1	
Cross,3	
Cruz,1	
Cruzs,1	
Crystal,1	
Cultural,2	
Culture,3	
Cumberbatch,3	
Curbelo,1	
Currently,1	
Currie,1	
Curt,2	
Customs,1	
Cynthia,1	
DACA,17	
DEAL,1	
DIEGO,1	
DMV,1	
DOG,1	
DVD,1	
DVDs,1	
Dakota,3	
Dale,1	
Dallas,1	
Damascus,11	
Dame,1	
Dan,2	
Daniel,3	
Daniels,1	
Darkness,1	
Darvish,1	
Dave,1	
David,7	
Davies,4	
Dawlat,1	
Day,2	
Days,1	
DeMar,1	
DeRozan,2	
DeShields,1	
DeVos,3	
Dead,3	
Deane,6	
December,4	
Declaring,1	
Defence,1	
Defender,1	
Defense,8	
Deferred,4	
Delino,1	
Delphine,1	
Demand,1	
Democracy,1	
Democrat,8	
Democratic,15	
Democrats,17	
Depardieu,1	
Department,13	
Departments,1	
Deputy,1	
Dergarabedian,4	
Despite,1	
Determined,1	
Diane,2	
Diaz,2	
Diego,3	
Directed,1	
Disney,5	
District,5	
Division,2	
Dixon,1	
Dodd,2	
Dodgers,2	
Dogs,3	
Donald,26	
Donker,1	
Dorothy,1	
Douglas,2	
Doukeris,1	
Douma,25	
Dowling,1	
Dream,2	
DreamWorks,1	
Dreamer,3	
Dreamers,5	
Dretzin,1	
Drew,1	
Driven,1	
Dudley,1	
Dust,1	
Dutch,7	
Dwayne,1	
Dwight,2	
Dylan,1	
EASIEST,1	
ESPN,2	
Earths,1	
East,7	
Easter,37	
Eastern,4	
EasyJet,1	
Ebert,16	
Economic,1	
Economists,1	
Editing,14	
Education,9	
Educational,1	
Edward,1	
Edwards,3	
Efrain,5	
Efran,2	
Egg,3	
Egypt,2	
Eight,1	
Eisenhower,1	
Elections,1	
Elementary,1	
Elizabeth,7	
Elizabeths,1	
Elko,2	
Ellis,2	
Ellison,1	
Elon,2	
Elvis,1	
Embassy,1	
Emily,1	
Empire,1	
Employers,1	
England,4	
English,1	
Enrique,3	
Entertainment,2	
Entry,1	
Episcopal,2	
Erdogan,2	
Eric,3	
Erlin,2	
Ernest,2	
Ethiopian,1	
Eugene,1	
Eugenio,1	
Europe,2	
European,13	
Evan,1	
Evans,2	
Eve,1	
Even,5	
Evening,2	
Every,1	
Everytown,1	
Excellence,1	
FEEDERSBefore,1	
Facebook,15	
Facebooks,4	
Failaq,2	
Fair,1	
Falk,1	
Falwell,1	
Famer,1	
Faqir,1	
Farah,2	
Fatah,1	
Fattah,1	
Faylaq,3	
Features,1	
Feb,3	
February,13	
Federal,2	
Federica,1	
Feds,1	
Feisal,1	
Felipe,1	
Field,1	
Fifty,3	
Filipina,1	
Filmed,1	
Filmyard,1	
Fin,1	
Final,2	
Finally,1	
Finance,4	
Financing,1	
Finckel,2	
Fisher,2	
Five,1	
Fla,4	
Flake,1	
Flores,1	
Florida,6	
Flying,2	
Focus,2	
Following,1	
Fools,2	
Force,7	
Foreign,6	
Forks,1	
Former,5	
Foundation,3	
Four,2	
Fox,16	
France,3	
Francesco,1	
Francis,13	
Francisco,2	
Frank,1	
Fred,1	
Frederick,1	
Free,7	
Freking,1	
French,2	
Friday,19	
Friends,6	
Front,1	
Fronteras,2	
Fuller,1	
Fund,1	
Fury,5	
GABORONE,1	
GOP,1	
GUATEMALA,2	
Gabba,1	
Gail,1	
Galilee,1	
Gallo,1	
Galvis,1	
Gambia,1	
Game,3	
Games,1	
Gandee,1	
Gangnam,1	
Garca,1	
Garden,3	
Garibo,1	
Garland,1	
Gaskins,1	
Gate,1	
Gathering,1	
Gattis,1	
Gay,2	
Gaye,1	
Gaza,14	
Gazan,1	
Gazans,1	
Geertruida,1	
Gems,1	
Gen,8	
General,11	
Generation,1	
George,4	
Georgians,1	
Gerald,1	
Gerard,1	
German,5	
Germans,1	
Germany,5	
Gerrit,4	
Ges,4	
Gess,2	
Getting,3	
Ghadir,1	
Ghotua,1	
Ghouta,13	
Giants,1	
Ginni,3	
Giuseppe,1	
Gives,1	
Glenn,3	
Glickman,2	
Global,1	
Globally,1	
Gnomes,1	
God,4	
Going,1	
Golden,1	
Goldsboro,1	
Goldstein,1	
Gonzo,1	
Google,2	
Gopalakrishnan,1	
Gordon,1	
Gov,3	
Government,2	
Governors,1	
Graham,7	
Grand,4	
Grant,1	
Grassley,1	
Grassleys,1	
Great,4	
Greek,1	
Green,4	
Greenham,1	
Gresback,1	
Griffin,1	
Group,2	
Guadalupe,1	
Guarneri,4	
Guarnerius,1	
Guatemala,14	
Guatemalan,13	
Guatemalans,2	
Guevara,2	
Guidance,1	
Gun,3	
Gunderson,2	
Gurriel,3	
Guterres,1	
Guthrie,2	
Gymnasium,1	
HANOI,1	
HAPPY,2	
HARTFORD,1	
HBOs,1	
HEALTHYPlaying,1	
HILLS,1	
Hader,1	
Hair,1	
Haji,1	
Hall,4	
Halo,4	
Hamas,17	
Hamass,2	
Hamilton,2	
Hampshire,4	
Han,1	
Haniya,1	
Hanyu,1	
Happy,2	
Harrell,1	
Harris,3	
Hastings,1	
Haunted,1	
Hawk,3	
Hawking,2	
Hay,2	
Hayes,2	
Health,1	
Heathrow,1	
Heavens,1	
Hee,1	
Heekyong,1	
Heiko,2	
Helena,1	
Helicopter,1	
Hell,1	
Helmand,2	
Helsinki,1	
Henritte,1	
Henson,6	
Hensons,2	
Herat,1	
Heres,8	
Heritage,2	
Hernndez,1	
Hero,1	
Herod,1	
Het,1	
Hey,2	
Hezbollah,1	
Hicks,1	
High,4	
Highland,1	
Highlight,1	
Hill,1	
Hillary,3	
Hills,2	
