word,count	
AIQ,5854	
ANALYTICA,313	
Aaj,18	
Accessed,228	
According,363	
AfD,27	
Affairs,159	
Africa,45	
Aggregate,20	
AggregateIQ,588	
Akerman,3	
Alexander,334	
Also,198	
America,630	
American,208	
Americans,314	
Anal,5	
Analysts,29	
Analytic,153	
Analytica,19855	
Analyticapertenece,3	
Analyticas,480	
Andrew,166	
April,476	
Aristegui,40	
BBC,2430	
BIGGER,190	
Bannon,2616	
BeLeave,20	
Big,120	
Black,103	
Bolton,531	
Boris,392	
Brasil,40	
Breitbart,138	
Brexi,20	
Brexit,801	
Brother,60	
Btw,1091	
CAMBRIDGE,503	
CEO,174	
CNN,290	
COO,111	
Cadwalladr,52	
Cambri,220	
Cambrid,93	
Cambridg,20	
Cambridge,20570	
Campaign,20	
Canadian,354	
Carole,90	
CasualtyMonitor,20	
Caug,80	
Caught,133	
Chairman,159	
Channel,2355	
Chief,70	
China,89	
Chris,368	
Christopher,219	
Chuck,1371	
Citizens,443	
Colorado,443	
Committee,159	
Concerned,443	
Congis,53	
Congress,174	
Conspiracy,335	
Constant,20	
Cruz,512	
Cube,103	
Data,1040	
Deal,335	
Dep,352	
Depar,8	
Departmen,570	
Dest,40	
Deuce,93	
Director,1371	
Documents,135	
Dutert,508	
Duterte,73	
EVEN,167	
EXCLUSIVE,508	
Ele,155	
Escrevi,69	
Europes,238	
Every,1739	
Evidence,335	
Exact,241	
FACEBOOK,40	
FBI,268	
FULL,273	
Fac,20	
FaceBook,213	
Facebook,3598	
Farage,114	
Federalist,96	
Files,27	
Follow,40	
Foreign,159	
Former,930	
Franais,10	
Franks,93	
GDPR,238	
Germany,27	
Given,23	
Glorious,93	
GonguRaj,18	
Gove,110	
Graphic,60	
Great,25	
Group,113	
Guilty,155	
Hacker,79	
Harris,27	
Head,343	
Hey,20	
Hillary,155	
Hindus,14	
House,159	
Hundreds,443	
Idea,14	
Illegally,155	
Important,3076	
Indeed,14	
Inteligencia,3	
Internet,48	
Israeli,103	
Joh,18	
John,513	
Johnson,114	
Jonathan,7	
Jueguen,79	
KITV,93	
Kanadal,180	
Kanto,39	
Keelty,200	
Keep,295	
Kenya,53	
Key,167	
Koch,495	
Lacks,352	
Las,135	
Lavia,508	
Leader,93	
Leave,200	
Looks,20	
Lord,392	
Ltd,113	
Magazine,20	
Mark,3550	
Marland,392	
Marshall,48	
Massive,335	
Matt,343	
Max,93	
Mays,207	
Media,107	
Mercer,3216	
Might,20	
Million,20	
Millions,288	
Morning,89	
Moscow,335	
NSC,286	
NYNJA,48	
Neil,128	
News,4785	
Nick,128	
Nigerian,20	
Nix,89	
Norway,40	
Number,295	
OSINT,80	
OSM,423	
Oczkowski,343	
Odebrecht,79	
Office,241	
Officer,52	
Operating,4	
Ops,335	
PAC,18	
PDP,80	
POR,40	
Parliament,3013	
Peter,508	
Philippine,89	
Philippines,13	
Please,20	
Pompee,508	
Pos,89	
Privacy,155	
Problem,80	
Product,343	
Promise,295	
Providing,133	
Qwhite,200	
Rachel,268	
Racist,202	
Ramon,180	
Raw,133	
Read,240	
Received,245	
Referendum,20	
Registration,27	
Regrettable,20	
Remain,20	
Rendn,79	
Republican,2374	
Republicans,273	
Research,1371	
Retweeted,200	
Robert,3196	
Robinson,128	
Rodrigo,13	
Royce,159	
Russia,827	
Russian,810	
SCANDAL,273	
SCL,354	
Salisbury,65	
Sandber,180	
Sandberg,353	
Sanders,343	
Save,39	
Sheryl,173	
Silicon,105	
Simply,20	
Sin,155	
Since,40	
SmearBuhari,60	
Social,80	
Soldier,114	
Someone,60	
South,134	
Spy,114	
Start,87	
Steve,351	
Still,20	
Stored,20	
Strategy,48	
Stunned,60	
Sunday,229	
Super,313	
TAINTE,295	
TAINTED,1749	
Tailor,114	
Taplits,48	
Target,27	
Targeted,202	
Theres,27	
Theresa,227	
Tinker,114	
Tiu,508	
Today,321	
Todays,207	
Toluna,20	
Tomorrow,40	
Torshi,245	
Tory,392	
Tru,80	
True,14	
Trum,20	
Trump,1230	
Trumps,29	
Turn,335	
UKIP,89	
Ugh,202	
Ugly,202	
Ukip,20	
Uma,40	
Unethical,27	
Unless,27	
Uribe,3	
Val,105	
Veterans,20	
Via,508	
Video,60	
Vote,20	
Voter,27	
Ward,1091	
Watch,13	
Watergate,20	
Weekend,3	
WhatsApp,60	
Worked,490	
Wylie,1577	
Youll,40	
Zuckerberg,3375	
abso,102	
absolutely,286	
abyss,1292	
acce,1190	
access,1265	
according,93	
across,238	
action,13	
actually,47	
address,241	
admits,58	
admitted,80	
affected,93	
agains,335	
age,80	
agenda,53	
ago,58	
albawhitewolf,20	
algorithm,52	
alongside,27	
alre,238	
already,1199	
also,7	
always,98	
ampla,40	
analytica,257	
another,103	
answer,52	
anyhow,21	
anything,273	
apologises,20	
appuntatevi,173	
ardndan,180	
around,43	
arrested,20	
ask,4012	
asking,268	
assisting,273	
assume,114	
attack,14	
attempts,38	
attention,58	
atual,40	
awards,423	
aya,3	
back,20	
based,20	
bee,60	
behind,103	
believe,200	
bellied,282	
besides,20	
better,2355	
bey,18	
big,2355	
bigger,93	
biso,282	
blame,47	
blew,441	
boss,657	
bouffant,282	
bragging,1292	
bre,93	
breach,3232	
breached,152	
breaking,2355	
brexit,120	
bring,293	
britnica,3	
britnico,20	
building,52	
calls,4	
cambridge,93	
came,58	
campaign,277	
campaigns,470	
canal,20	
candidates,2265	
cannot,27	
carpet,273	
case,1300	
caso,69	
cheat,40	
check,15	
citize,89	
clarifying,320	
clear,289	
clearance,268	
clearly,102	
coisas,69	
colluded,155	
coming,302	
compaa,3	
companies,127	
company,171	
companys,441	
compared,93	
compromise,65	
confirm,1190	
confirmation,111	
confused,20	
congressional,1413	
connect,180	
connections,40	
considering,87	
conspiracy,423	
consumer,229	
consumers,20	
contacted,168	
contexto,40	
continues,52	
contractor,103	
convido,69	
cool,7	
cooperating,930	
core,25	
correction,40	
corrections,40	
counsel,20	
country,25	
cover,1010	
creadores,79	
created,49	
crooked,80	
culpable,3	
cut,343	
dados,40	
data,12970	
datos,20	
debacle,103	
debate,20	
del,3	
delete,79	
democratic,200	
deny,89	
department,93	
described,29	
desperately,635	
destap,20	
devastating,53	
didnt,21	
dier,180	
dined,40	
directly,92	
discovered,3076	
documents,1343	
dolla,635	
double,282	
due,173	
early,102	
echo,3	
efforts,21	
election,1821	
elections,43	
electoral,20	
else,20	
embarrassed,21	
employee,13	
end,132	
enmeshed,3076	
enough,40	
equipo,3	
escndalo,60	
especial,40	
est,3	
estimate,48	
estimated,65	
etc,79	
ethical,1413	
ethics,1431	
ethos,25	
evasion,20	
even,41	
events,5	
everyone,93	
everything,20	
everytime,200	
evidence,4462	
evil,279	
example,320	
exceed,73	
explains,7	
exposing,40	
extend,238	
facciale,173	
face,20	
facebook,93	
fact,113	
facts,1271	
fail,151	
fair,20	
fake,88	
fallout,80	
far,2355	
faux,273	
feel,23	
field,27	
fight,52	
financed,40	
firm,4711	
firmasnn,180	
fix,7	
following,5	
forced,180	
foreigners,273	
former,1287	
forward,40	
found,33	
founder,96	
friends,23	
funded,147	
funds,245	
gathers,89	
gay,200	
geen,180	
gentle,40	
get,3697	
gewaarschuwd,105	
geweest,105	
giants,48	
golden,80	
gone,273	
gotten,15	
gov,113	
government,572	
graphic,20	
great,1091	
group,241	
growing,20	
haired,282	
half,635	
happening,112	
harass,89	
head,268	
headlines,65	
hearings,1413	
heart,92	
helped,53	
heres,2921	
hide,49	
