word,count	
ABD,132	
ACTUALLY,453	
AMERICA,308	
ANIMAL,36	
ASSAD,36	
ATTACK,62	
ATTAQUE,44	
According,185	
Accusations,40	
Admits,40	
Affaires,22	
Afghanistan,50	
Agree,65	
Aid,50	
Ailes,40	
Alaska,900	
Alec,272	
Alicia,63	
Amazon,76	
Ame,40	
Americ,50	
America,1001	
American,376	
Animal,399	
Another,413	
Apache,66	
Apparently,100	
Approval,115	
April,23	
Archie,54	
Arizona,63	
Armes,14	
Asad,54	
Assad,1762	
Ataque,54	
Atlantic,72	
Attacks,428	
Australian,262	
Avenatti,40	
Avenue,4026	
BANKRUPTCY,360	
BET,342	
BIGGER,62	
BIRTH,148	
BLAMED,36	
BOT,63	
BUSINESSES,360	
Bacon,27	
Bad,45	
Bags,50	
Bakan,132	
Baldwins,40	
Ballard,40	
Baltic,108	
Banks,6	
Barack,396	
Barr,28	
Barret,50	
Barron,861	
Barry,105	
Bashar,74	
Basketball,6	
Ben,84	
Betsy,118	
Biggest,59	
Bill,40	
Bir,23	
Bizarre,417	
Black,342	
Blake,40	
Blame,675	
Blessed,27	
Bob,165	
Bolling,40	
Border,37	
Bragging,73	
Bredesen,40	
Brenna,810	
Brian,115	
Buildings,54	
BumBoyRaj,24	
CHEMICAL,56	
CHIMIQUE,44	
CLASSROOM,61	
CNN,132	
COURAGEOUS,18	
CREWs,59	
Cabi,67	
Calipari,6	
Capitol,44	
Care,40	
Carson,84	
Carter,75	
Catch,40	
Cheap,614	
Chemical,36	
Chicago,75	
China,308	
Chosen,6	
Christians,42	
Christopher,63	
Chvez,62	
City,2234	
Claiming,63	
Clinton,692	
Clowns,35	
Cohen,195	
Colbert,45	
Cold,108	
Commission,3	
Commissioner,185	
Committee,54	
Compared,59	
Comparing,7	
Conference,64	
Congress,227	
Conscience,95	
Constatution,24	
Correspondents,41	
Costly,119	
Counsel,58	
Country,28	
Courts,360	
Crown,29	
Culkin,40	
Cut,50	
DEADLY,36	
DJT,386	
DOJ,21	
DONALD,1217	
DONT,4	
Daniels,41	
Dark,67	
Darko,40	
Data,36	
Dear,59	
Deaths,232	
Decider,19	
Deep,35	
Delet,174	
Democrat,40	
Democratic,76	
Democrats,1048	
Dems,484	
Department,267	
Deport,65	
Deregulation,115	
Devin,21	
Dies,83	
Din,41	
Dinner,103	
Ditches,38	
Dividing,65	
DoctorKropotkin,57	
Doesnt,52	
Donald,21664	
Donalds,14	
Done,417	
Donnie,40	
Dont,228	
Doomed,57	
Dou,132	
Dreamt,61	
Drops,76	
Due,3	
Dumpster,68	
EPA,214	
EUAEl,25	
EVERYONE,18	
Earlier,286	
Egypt,50	
Election,3	
Elizabeth,65	
Employees,3	
Ending,135	
Energy,91	
Eric,87	
Esed,61	
Esquire,54	
Establishment,46	
Estados,81	
Evangelicals,42	
Every,38	
Evidence,3	
Examiner,28	
Experiment,59	
FAMILY,18	
FBI,354	
FBIs,21	
FEARMONGERS,16	
FOOLISH,26	
Facebook,36	
Failure,59	
Fake,38	
Falls,65	
Fans,147	
Federal,363	
Felix,58	
Fifth,1472	
Finally,38	
Fir,31	
Fire,1594	
Firefighters,270	
Florida,40	
Following,417	
Forget,62	
Forgotten,119	
Fort,66	
Founder,171	
Fox,232	
France,44	
Frank,1	
Franke,453	
Franklin,37	
Franks,40	
Friends,65	
Fuck,36	
Fui,127	
Fully,65	
GAS,36	
GEORGIAN,45	
GOP,92	
GREAT,171	
GUEORGUI,45	
Gambino,802	
Gender,48	
Genovese,635	
George,15	
Germanys,55	
Get,31	
Ghazala,5	
God,121	
Goldman,3	
Golf,259	
Good,89	
Gotti,71	
Gowdy,44	
Great,417	
Greatest,76	
Guard,86	
Guarda,34	
Gublin,65	
Guess,86	
Guta,54	
HAND,16	
HONEST,18	
Hadj,25	
Hand,19	
Hanging,19	
Hate,92	
Hates,92	
Haunted,64	
Hes,58	
Hey,71	
Hill,44	
Hillary,981	
History,76	
Hit,92	
Hitchens,63	
Hollywood,75	
Honorable,54	
Hopes,19	
House,186	
Housing,54	
Huckabee,41	
Huge,119	
Hugo,31	
Human,262	
Humboldt,10	
III,103	
INEVITABLE,40	
IRAN,36	
Ignores,622	
Ignoring,73	
Impeach,40	
Imploding,62	
Important,232	
Inactive,12	
Ingraham,40	
Internation,894	
Ira,63	
Iran,294	
Iranian,149	
Irans,2	
Iraq,50	
Irn,237	
JOBS,171	
JackPosobiec,8	
January,40	
Jefferso,61	
Jerome,40	
Jesus,91	
Jimmy,75	
John,2271	
Johnson,54	
Jordan,50	
Juro,127	
Justice,82	
Justin,10	
KFC,69	
KIDS,122	
KINDRED,148	
Kaepernick,75	
Kanye,24	
Kelly,276	
Kennedy,76	
Kentucky,6	
Kevin,27	
Khan,5	
Kim,162	
King,92	
Know,34	
Korea,98	
LEADER,89	
LIAR,308	
LIE,4	
LITTLE,61	
LOST,360	
LOT,274	
Landlords,571	
Laura,40	
Leave,36	
Lets,99	
Lil,127	
Lincoln,37	
Line,90	
Listen,59	
Live,58	
Lobbied,83	
Look,286	
Loretta,711	
Love,12	
Lows,56	
Luther,73	
Lynch,711	
MAKE,19	
MAKHARADZE,45	
MAN,16	
Machado,63	
Macron,2	
Maddow,113	
Make,676	
Man,83	
Managing,73	
Manhatt,232	
Many,18	
Martin,73	
Mary,45	
Matthew,287	
Mattis,50	
May,36	
Maybe,122	
Media,46	
Memo,135	
Men,119	
Merkel,2	
Mex,64	
Mexico,93	
Michael,235	
Michelle,548	
Midas,19	
Mike,55	
Miss,117	
Misuse,36	
Mohammed,29	
Moore,40	
Morning,81	
Moscou,27	
Muell,58	
Mueller,242	
Munchin,28	
Muslim,65	
Mxico,36	
NBCNews,40	
NRA,34	
NYC,284	
NYT,667	
Nacional,34	
National,86	
Nationality,65	
Nevada,63	
Never,6	
News,119	
Newsweek,13	
Nixon,54	
Non,22	
Norm,25	
North,98	
Nov,386	
Nunes,21	
Obama,4245	
Obamas,154	
Obispos,36	
Oopsies,63	
Open,148	
Organization,47	
Overplayed,19	
PETA,399	
POTUS,150	
PRAY,18	
PRAYERS,19	
PRESIDENT,18	
Paid,80	
Pakistan,50	
Par,9	
Parent,7	
Party,89	
Patrol,37	
Paul,12	
Pelotazo,65	
Pence,25	
Penis,59	
Pennsylvania,40	
People,6	
Percent,59	
Perhaps,14	
Phil,40	
Pierson,34	
