word,count	
abd-bakan,132	
accused-lack,174	
across-alaska,647	
act-assad,828	
actions-due,3	
actually-democrats,190	
actually-floors,36	
admit-part,59	
advice-donald,4	
affirm-entire,17	
affirmation-republican,66	
afirmou-que,34	
ago-donald,42	
agree-donald,25	
alan-kimyasal,61	
alaska-selfie,647	
alec-donald,192	
alicia-machado,63	
allis-payer,14	
alone-fix,53	
also-criticized,46	
also-doesnt,185	
also-moment,24	
also-way,57	
alto-por,66	
alto-precio,64	
amazing-people,9	
amenaza-con,32	
america-donald,54	
america-doomed,57	
america-fans,31	
american-donald,67	
american-jobs,131	
american-people,101	
among-group,17	
animal-assad,193	
anniversary-assassination,36	
announces-billboards,182	
another-reason,182	
ans-fait,23	
antithesis-christopher,63	
apache-debatimos,3	
apartment-buildings,1	
apparently-donald,25	
appears-donald,60	
approval-rating,59	
approval-ratings,59	
area-putin,42	
argument-says,38	
arm-teachers,40	
armas-qumicas,32	
armes-chimiques,14	
around-making,50	
article-looks,38	
ass-cheek,57	
assad-ira,63	
assad-lan,48	
assad-reports,128	
assad-russia,41	
assad-sep,828	
assad-syria,24	
assassination-earlier,36	
ataque-con,32	
ataque-qumico,183	
ate-donald,2	
ate-john,64	
atlantic-city,72	
atrium-commercial,36	
attack-syria,291	
attacks-hillary,134	
attacks-washington,134	
audacity-blame,673	
autoridades-mexicanas,36	
avenue-donald,470	
avenue-today,532	
avoid-trap,4	
backing-animal,24	
bad-parent,7	
badly-michael,65	
bags-trump,22	
bakan-donald,132	
baltic-states,81	
bankruptcy-courts,329	
banks-kentucky,6	
barack-obama,267	
barr-posts,28	
barret-man,50	
barron-john,545	
barry-soweto,24	
bashar-assad,63	
basically-turned,673	
basketball-players,49	
basketball-sport,6	
battle-wits,102	
beaucoup-morts,48	
behind-promise,67	
believes-market,523	
ben-carson,41	
berserk-trump,71	
bet-founder,262	
betsy-vos,41	
big-donald,61	
biggest-political,59	
billboard-demands,13	
billboards-demanding,182	
billionaire-openly,54	
bin-zayed,29	
bit-suspicious,17	
black-american,131	
black-bet,131	
black-billionaire,54	
blame-amazon,54	
blame-chicago,54	
blame-china,54	
blame-hillary,54	
blame-hollywood,54	
blame-journalists,54	
blame-kaepernick,54	
blame-mexico,54	
blame-obama,673	
blamed-obama,154	
blamed-russia,128	
blamed-russian,63	
blames-vladimir,24	
blesss-donald,23	
bloviates-caravan,54	
blue-check,41	
bob-mueller,107	
bogus-reports,60	
border-bogus,60	
border-cant,72	
border-watching,144	
bot-leader,63	
bottom-trump,36	
brag-well,41	
bragging-trump,25	
bragging-well,60	
brags-tweet,53	
brags-well,47	
brian-white,19	
broke-law,77	
build-casino,72	
build-wall,112	
building-despite,41	
buildings-http,40	
buildings-landlords,1	
built-buil,47	
built-building,94	
built-donald,22	
built-genovese,353	
burning-russia,17	
bus-crash,10	
business-partners,47	
businesses-involved,329	
cabinet-post,123	
calipari-donald,6	
call-blue,41	
call-justice,28	
called-donald,24	
calling-trying,41	
calls-justin,10	
came-caravan,12	
candidate-state,17	
candor-lets,174	
cant-even,72	
caravan-hit,1	
caravan-immigrants,54	
caravan-kind,12	
caravan-made,54	
care-america,128	
care-enough,59	
care-people,185	
carson-still,41	
cases-federal,329	
casino-atlantic,72	
catches-fire,71	
causing-stock,8	
certainly-make,19	
chances-taking,59	
charge-trump,523	
cheap-basta,175	
cheap-put,31	
check-wealth,41	
cheek-also,57	
chemical-attack,283	
children-amazing,9	
children-mindless,1	
chimique-syrie,48	
chimiques-syrie,14	
china-says,18	
china-tries,38	
christopher-hitchens,63	
circus-many,12	
city-late,1352	
city-withou,65	
city-without,7	
claiming-supported,63	
claims-doesnt,22	
claims-sources,545	
classroom-kids,61	
clear-spelt,2	
clinging-scott,274	
clinton-stuck,418	
clinton-thus,51	
closer-direct,57	
coalition-behind,67	
cohen-badly,65	
cohen-gave,65	
cohen-quiet,65	
colbert-needs,45	
cold-open,81	
color-sexual,114	
com-que,34	
comercial-iniciada,3	
comment-sorry,63	
commercial-floors,36	
commissioner-confirms,309	
compared-size,59	
comparing-bad,7	
compris-des,48	
con-armas,32	
con-ella,63	
con-tomar,32	
condemns-chemical,9	
condolences-humboldt,10	
confirms-blackmail,71	
confirms-donald,17	
confirms-miss,34	
confirms-trump,309	
constant-federal,418	
contacted-released,49	
continued-strength,69	
contra-siria,32	
contractors-via,32	
control-syria,673	
