word,count	
ABD,132	
ACTUALLY,190	
Agree,25	
Alaska,647	
Alec,192	
Alicia,63	
Amazon,54	
Americ,50	
America,411	
American,299	
Animal,193	
Another,182	
Apache,3	
Apparently,25	
Approval,59	
Armes,14	
Assad,1132	
Ataque,53	
Atlantic,72	
Attacks,268	
Avenue,1002	
BANKRUPTCY,329	
BET,262	
BIRTH,148	
BOT,63	
BUSINESSES,329	
Bad,7	
Bags,22	
Bakan,132	
Baltic,81	
Banks,6	
Barack,267	
Barr,28	
Barret,50	
Barron,545	
Barry,24	
Bashar,63	
Basketball,6	
Ben,41	
Betsy,41	
Biggest,59	
Bir,23	
Bizarre,343	
Black,262	
Blame,486	
Bob,107	
Bragging,25	
Brian,19	
CHEMICAL,1	
CLASSROOM,61	
COURAGEOUS,18	
Cabi,67	
Calipari,6	
Carson,41	
Cheap,206	
Chicago,54	
China,229	
Christopher,63	
City,1424	
Claiming,63	
Clinton,486	
Cohen,195	
Colbert,45	
Cold,81	
Compared,59	
Comparing,7	
Conference,64	
Costly,119	
Country,28	
Courts,329	
Crown,29	
DJT,182	
DOJ,21	
DONALD,826	
DONT,4	
Dark,67	
Data,36	
Dear,59	
Deaths,22	
Decider,19	
Delet,134	
Democrats,426	
Dems,182	
Department,28	
Deport,25	
Deregulation,77	
Devin,21	
Dies,31	
Dinner,65	
Dividing,25	
DoctorKropotkin,57	
Doesnt,12	
Donald,10618	
Done,343	
Dont,36	
Doomed,57	
Dou,132	
Dreamt,61	
Drops,31	
Due,3	
Dumpster,68	
EPA,123	
EUAEl,25	
EVERYONE,18	
Earlier,180	
Elizabeth,25	
Ending,58	
Eric,47	
Esed,61	
Establishment,46	
Every,38	
Examiner,28	
Experiment,59	
FAMILY,18	
FBI,162	
FBIs,21	
Facebook,36	
Failure,59	
Falls,65	
Fans,31	
Federal,329	
Fifth,532	
Finally,38	
Fire,51	
Florida,40	
Following,343	
Forgotten,119	
Fort,3	
Founder,131	
Fox,125	
Franke,190	
Friends,65	
Fully,25	
GEORGIAN,45	
GOP,92	
GREAT,131	
GUEORGUI,45	
Gambino,353	
Genovese,417	
Germanys,40	
Ghazala,5	
God,69	
Good,77	
Gotti,64	
Great,343	
Greatest,31	
Guard,60	
Guarda,34	
Gublin,65	
HONEST,18	
Hand,19	
Hanging,19	
Hate,92	
Hates,92	
Haunted,64	
Hes,58	
Hey,64	
Hillary,674	
History,31	
Hit,36	
Hitchens,63	
Hollywood,54	
Honorable,54	
Hopes,19	
House,143	
Huge,119	
Humboldt,10	
III,67	
Ignores,238	
Ignoring,25	
Important,22	
Inactive,12	
Internation,523	
Ira,63	
Iran,128	
JOBS,131	
January,40	
Jefferso,61	
Jesus,91	
John,1567	
Johnson,54	
Justice,28	
Justin,10	
KIDS,122	
KINDRED,148	
Kaepernick,54	
Kelly,276	
Kennedy,31	
Kentucky,6	
Khan,5	
Kim,57	
King,36	
LEADER,63	
LIE,4	
LITTLE,61	
LOST,329	
LOT,71	
Landlords,289	
Lets,59	
Line,63	
Listen,59	
Live,58	
Lobbied,31	
Love,12	
Luther,36	
MAKE,19	
MAKHARADZE,45	
Machado,63	
Make,343	
Man,31	
Managing,25	
Manhatt,22	
Many,1	
Martin,36	
Mary,45	
Mattis,22	
May,36	
Maybe,67	
Media,46	
Memo,58	
Men,119	
Mexico,54	
Michael,195	
Michelle,350	
Mike,25	
Miss,34	
Misuse,36	
Mohammed,29	
Morning,69	
Mueller,177	
Muslim,25	
Mxico,36	
NYC,41	
NYT,288	
Nacional,34	
National,60	
Nationality,25	
News,60	
Newsweek,13	
Nov,182	
Nunes,21	
Obama,2876	
Obamas,154	
Obispos,36	
Oopsies,63	
Open,81	
Organization,47	
Overplayed,19	
PETA,195	
PRAY,18	
PRAYERS,19	
PRESIDENT,18	
Paid,80	
Parent,7	
Party,66	
Paul,12	
Pelotazo,65	
Pence,25	
Penis,59	
Percent,59	
Pierson,9	
Please,71	
Policy,58	
Political,59	
Poll,59	
Post,191	
Potus,22	
Presi,174	
Presidency,57	
President,2652	
Press,64	
Prince,29	
Protect,67	
Pruitt,496	
Punching,22	
Put,31	
Putin,923	
Queen,25	
RED,182	
RINOS,46	
Rabbit,64	
Rasmussen,59	
Ratings,59	
Reagan,141	
Recession,57	
Red,63	
Refugees,25	
Reminder,545	
Rep,21	
Report,57	
Republican,107	
Republicans,828	
Revel,63	
Rich,119	
Rips,7	
Robert,282	
Roge,71	
Rona,50	
Ronald,141	
Roseanne,28	
Royal,17	
Ruhle,62	
Running,22	
Rusia,46	
Russia,291	
Russian,63	
Rusya,71	
Ryan,41	
SCARED,122	
SEPARATED,148	
SPIRITS,148	
Sabe,105	
Sand,63	
Sasha,6	
Says,131	
Scott,576	
Sealing,104	
Sep,828	
September,267	
Shows,59	
Signs,58	
Since,36	
Siria,149	
Size,59	
Someone,47	
Souls,67	
Southern,104	
Soweto,24	
Soyabean,38	
Sport,6	
Sprinkl,31	
Sprinklers,31	
Staff,19	
State,329	
States,278	
Stephanie,62	
Still,59	
Strategies,67	
Suriyeyi,23	
Syria,2391	
Syrian,206	
Syrie,62	
THOUGHT,19	
TRUM,83	
TRUMP,826	
Taylor,17	
Thank,22	
TheDailyBe,19	
Today,458	
Tomahawks,33	
Towe,60	
Tower,2301	
Tru,828	
Trudeau,10	
Trum,191	
Trump,14640	
Trumps,590	
Try,63	
Trying,343	
Turns,22	
Tweets,134	
Twit,28	
Twitter,176	
Two,969	
UAE,47	
United,197	
Universe,34	
Upper,18	
Use,67	
Users,36	
Vladimir,96	
Vos,41	
Vote,71	
Washington,310	
Watching,102	
Weird,24	
Wesley,12	
White,84	
Women,119	
Yes,9	
York,1381	
Zayed,29	
Zinke,41	
abo,185	
accused,174	
across,647	
act,828	
actions,3	
actually,36	
admit,59	
advice,271	
affirm,17	
affirmation,66	
afford,18	
afirmou,34	
ago,42	
alan,61	
allis,14	
alone,53	
also,312	
alto,130	
amazing,9	
amenaza,32	
among,17	
anniversary,36	
announces,182	
ans,23	
antithesis,63	
apartment,1	
appears,60	
approval,59	
area,42	
argument,38	
arm,40	
armas,32	
around,50	
article,38	
ass,57	
assassination,36	
ataque,162	
ate,66	
atrium,36	
attack,411	
audacity,673	
autoridades,36	
avoid,4	
backing,24	
badly,65	
bankr,7	
basically,673	
basketball,49	
basta,175	
battle,102	
beaucoup,48	
behind,67	
believes,523	
bene,62	
berserk,71	
big,61	
billboard,13	
billboards,182	
billion,40	
