word,count	
Abbott,160	
Abiding,8620	
According,80	
Acid,200	
Amber,1021	
America,240	
American,400	
App,600	
Armed,800	
Asking,389	
Assault,904	
Assembly,1021	
Attacks,200	
Austra,1249	
Australia,1449	
BANNED,465	
Ban,200	
Basically,200	
Bernie,40	
Brand,240	
CDC,1446	
CRIME,8620	
Chicago,320	
Communities,400	
Concerned,200	
Control,17240	
Cressida,360	
Crime,4185	
Democratic,400	
Dick,360	
Difference,200	
Educational,200	
Enacted,400	
England,1699	
Every,200	
Fake,304	
Figures,342	
Finally,200	
GUN,240	
Global,2185	
God,231	
Goldberg,240	
Government,400	
Govt,200	
Grassroots,200	
Great,389	
Gun,12837	
IDEA,200	
INCREASES,8620	
Inconvenient,1189	
Islamic,280	
Jeremy,320	
John,40	
Kelly,40	
Khan,920	
Knife,2211	
Knows,1446	
Lammy,160	
Law,8620	
Lee,240	
Left,1446	
Liberty,8620	
Liz,1189	
London,3562	
Londons,160	
Look,200	
Lose,8620	
Lower,1446	
MONKEYS,240	
MPs,1021	
Majority,200	
Makes,200	
Mayor,360	
Media,304	
Mope,200	
Much,1446	
Murder,3019	
Murders,1491	
Muslim,600	
NRA,1269	
NYC,400	
Need,1446	
News,304	
Newspaper,200	
Numbers,1446	
Ottawa,600	
Overtakes,200	
Owners,80	
Please,116	
Police,800	
Politically,360	
Politicians,200	
Present,240	
Prog,200	
Proved,1446	
Publishing,400	
Radio,200	
Rape,200	
Rate,200	
Real,1446	
Reported,200	
Resign,160	
Robbery,200	
Rudd,1021	
Sadiq,920	
Sajid,1699	
September,320	
Sexual,600	
Sign,160	
Simon,240	
States,240	
Stats,1446	
Stn,200	
Study,1446	
Switzerland,200	
Teen,80	
Tell,342	
Terrorism,280	
Test,240	
Thanx,80	
Theft,600	
Theres,800	
Today,80	
Truth,1446	
United,240	
Victor,240	
Violent,80	
Voted,40	
Wakandans,160	
Walk,40	
Weapon,304	
Year,320	
Zealand,1249	
abiding,465	
absolute,200	
abusers,560	
acid,622	
