word,count	
Acid,200	
Amber,781	
American,400	
App,600	
Asking,389	
Assault,600	
Assembly,781	
Attacks,200	
Austra,200	
Australia,400	
BANNED,465	
Ban,200	
Basically,200	
Bernie,40	
Communities,400	
Concerned,200	
Cressida,200	
Crime,2259	
Democratic,400	
Dick,200	
Difference,200	
Educational,200	
Enacted,400	
England,1219	
Every,200	
Finally,200	
Government,400	
Govt,200	
Grassroots,200	
Great,389	
Gun,2430	
IDEA,200	
Inconvenient,752	
Islamic,200	
Jeremy,320	
John,40	
Kelly,40	
Khan,600	
Knife,2030	
Liz,752	
London,2762	
Look,200	
MPs,781	
Majority,200	
Makes,200	
Mayor,200	
Mope,200	
Murder,2539	
Murders,1310	
Muslim,600	
NRA,1075	
NYC,400	
Newspaper,200	
Ottawa,600	
Overtakes,200	
Please,116	
Police,800	
Politically,200	
Politicians,200	
Prog,200	
Publishing,400	
Radio,200	
Rape,200	
Rate,200	
Reported,200	
Robbery,200	
Rudd,781	
Sadiq,600	
Sajid,1219	
September,320	
Sexual,600	
Stn,200	
Switzerland,200	
Terrorism,200	
Theft,600	
Voted,40	
Walk,40	
Year,320	
Zealand,200	
abiding,465	
absolute,200	
abusers,560	
acid,200	
across,1219	
alien,400	
allows,560	
argument,200	
arm,389	
around,200	
asically,200	
attention,116	
away,560	
ball,200	
banger,200	
banned,200	
beginning,115	
belief,200	
better,11	
blame,200	
blue,200	
breaking,200	
bring,200	
burn,11	
call,200	
called,981	
calling,200	
capita,200	
capital,200	
carry,200	
caught,752	
caus,200	
caused,752	
charge,200	
charity,116	
check,200	
cities,200	
citizens,465	
city,200	
civilized,200	
clearly,200	
combat,200	
combating,200	
common,560	
communities,200	
compared,200	
comparison,752	
complacency,1600	
continued,200	
contrary,200	
control,400	
correct,200	
correlated,200	
council,781	
crim,200	
crime,10433	
criminal,560	
crying,400	
day,11	
debate,200	
defense,1075	
directly,200	
disar,465	
doesnt,400	
done,1600	
drillas,200	
dropping,200	
economic,200	
effectively,200	
ending,320	
esp,389	
even,465	
ever,200	
every,589	
example,200	
existing,200	
exp,200	
exposes,1075	
failed,560	
fallen,1600	
familiar,1600	
far,400	
fees,200	
fight,200	
firearm,400	
focuses,116	
folding,200	
followed,1600	
fools,400	
footb,200	
forget,465	
freaking,400	
front,600	
get,1160	
going,1619	
government,2000	
governor,1475	
gun,6751	
guns,1265	
guy,200	
halfwits,200	
happens,200	
harm,752	
hate,400	
help,200	
helps,389	
hes,200	
horrific,560	
house,200	
huge,200	
ignorance,200	
illegal,800	
incite,200	
inclu,400	
increase,200	
increasing,200	
inertia,1600	
injustices,200	
investigate,200	
justice,560	
kick,200	
kids,200	
killed,1619	
killing,200	
knife,1200	
lack,200	
law,665	
laws,800	
leaders,781	
leadership,400	
liberals,200	
lied,200	
light,200	
lin,1600	
look,1310	
lot,600	
makes,752	
managers,200	
many,200	
massive,200	
mayor,200	
mean,400	
means,200	
meeting,781	
member,600	
members,781	
militia,600	
model,200	
money,200	
much,200	
mugging,200	
municipality,400	
must,1800	
national,400	
near,200	
nife,11	
number,200	
officers,200	
openly,200	
organisation,116	
owne,200	
parking,600	
payers,200	
peep,400	
people,1819	
per,200	
pipeline,1075	
place,40	
point,389	
police,400	
popular,200	
power,40	
preventing,116	
racist,40	
rate,200	
recommend,116	
record,1310	
regulated,600	
resign,200	
resource,200	
rest,200	
rise,800	
rising,465	
role,1075	
root,200	
run,11	
salute,200	
says,320	
search,200	
searches,200	
see,600	
seen,200	
sees,200	
serious,200	
shoots,600	
shot,400	
showed,200	
signal,200	
signalling,200	
single,389	
social,200	
someone,116	
something,1600	
speeding,752	
stabbings,1219	
start,400	
statistics,400	
stop,600	
story,560	
strategies,200	
strict,200	
strictest,200	
system,560	
tackle,600	
tal,781	
talked,200	
talking,200	
tax,200	
teams,200	
technology,200	
tell,200	
thing,40	
though,40	
three,600	
towards,116	
try,200	
trying,200	
twice,800	
understand,389	
urgent,200	
using,400	
uttered,400	
via,440	
violence,800	
violent,400	
virtually,200	
virtue,200	
voted,40	
wake,200	
wanted,600	
wasting,200	
wave,200	
wealth,200	
well,1381	
western,200	
whenever,320	
wife,600	
willful,200	
world,200	
years,200	
yet,200	
young,200	
youv,400	
