word,count	
Aircraft,6702	
Battle,7652	
CHAMBERS,920	
Cards,340	
Carrier,14354	
China,19600	
Chinas,380	
Chinese,6362	
Deploys,7652	
Emmerson,240	
Face,710	
Global,80	
Groups,7652	
Guard,580	
Hedge,769	
Join,710	
Launches,100	
MASSIVE,100	
Mexico,580	
National,580	
Navy,8421	
Pact,710	
Pay,1060	
Philippine,300	
Replenishment,920	
Republic,8421	
Response,340	
Russia,950	
Russian,240	
SAMPSON,1120	
SUPREME,1120	
Sad,340	
Sea,10272	
South,18973	
Straits,370	
Successfully,920	
THEODORE,1120	
Three,6262	
Timelapse,110	
Times,80	
Trump,240	
USA,1290	
USNS,920	
Vietnam,950	
WASHINGTON,920	
Wow,300	
Zero,769	
activities,40	
administration,240	
advanced,37	
agree,240	
aircrafts,240	
ako,300	
analyst,340	
ang,300	
argues,380	
attention,1060	
authorities,1020	
balita,300	
base,110	
believ,370	
bureaucratic,1020	
cant,370	
carrier,580	
carriers,240	
china,340	
close,1060	
complain,580	
conduct,8421	
conducted,920	
control,340	
converting,110	
cooperation,240	
cost,580	
creating,240	
data,110	
declassify,1060	
deploying,580	
destroyer,1120	
drills,100	
effectiv,240	
endgamehale,100	
engagement,240	
est,300	
ever,100	
exercise,8421	
expanding,100	
expert,80	
explanation,100	
five,37	
force,140	
frigate,1120	
government,40	
groups,580	
head,340	
heard,100	
help,340	
htt,40	
https,8421	
imagery,40	
information,340	
issue,100	
jfwduffield,340	
joined,1120	
keeps,140	
land,37	
large,110	
launch,340	
learn,37	
lessons,37	
lin,100	
match,240	
memo,1020	
militarisation,340	
military,690	
natural,110	
navy,100	
ngayon,300	
none,340	
operating,580	
operations,340	
opportunity,240	
passing,8421	
past,37	
patrol,1120	
perhaps,580	
policy,1020	
political,240	
power,240	
pretty,110	
prevent,340	
providing,1020	
purpose,240	
puts,140	
raising,240	
rationale,1020	
realDonaldTrump,440	
reclamation,37	
release,1060	
sea,1840	
sent,240	
shi,1120	
shoal,110	
short,1020	
show,140	
showing,110	
simple,100	
somewhere,920	
south,340	
steadily,37	
still,370	
strategic,1020	
taking,340	
tension,240	
urges,240	
via,1840	
watch,140	
withdraw,340	
years,37	
