word,count	
aircraft-carrier,1800	
ako-balita,100	
ang-south,100	
authorities-declassify,300	
battle-groups,2100	
bureaucratic-authorities,300	
cant-believ,200	
cards-via,100	
carrier-battle,2100	
carrier-cards,100	
carrier-groups,100	
carrier-south,1700	
china-expanding,100	
china-https,3000	
china-sea,3000	
chinas-taking,100	
chinese-aircraft,1700	
close-attention,100	
complain-cost,100	
conduct-passing,3000	
conducted-replenishment,200	
control-south,100	
cost-perhaps,100	
declassify-release,300	
deploying-national,100	
deploys-carrier,500	
deploys-three,1600	
destroyer-sampson,400	
endgamehale-straits,100	
est-philippine,100	
ever-heard,100	
exercise-republic,3000	
explanation-ever,100	
face-vietnam,300	
frigate-supreme,400	
groups-chinese,1700	
groups-operating,100	
groups-south,400	
guard-mexico,100	
head-south,100	
heard-china,100	
help-prevent,100	
information-operations,100	
jfwduffield-response,100	
join-face,300	
joined-frigate,400	
launch-information,100	
launches-massive,100	
massive-navy,100	
memo-providing,300	
mexico-carrier,100	
militarisation-south,100	
military-head,100	
national-guard,100	
navy-drills,100	
navy-south,3000	
ngayon-ang,100	
none-sad,100	
operations-help,100	
passing-exercise,3000	
patrol-shi,400	
pay-close,100	
perhaps-deploying,100	
philippine-sea,100	
policy-memo,300	
prevent-chinas,100	
providing-strategic,300	
rationale-bureaucratic,300	
realdonaldtrump-south,100	
realdonaldtrump-withdraw,100	
replenishment-sea,200	
republic-navy,3000	
response-militarisation,100	
russia-join,300	
sampson-joined,400	
sea-argues,100	
sea-issue,100	
sea-ngayon,100	
sea-none,100	
sea-somewhere,200	
sea-still,200	
sea-usns,200	
sea-via,400	
sea-wow,100	
short-policy,300	
simple-explanation,100	
somewhere-south,200	
south-china,6000	
still-cant,200	
straits-south,200	
strategic-rationale,300	
successfully-conducted,200	
supreme-patrol,400	
taking-control,100	
theodore-destroyer,400	
three-carrier,1600	
usa-deploys,400	
usns-washington,200	
vietnam-pact,300	
washington-chambers,200	
withdraw-military,100	
wow-ako,100	
