word,count	
Abolished,223	
Adviser,978	
Advisor,210	
African,326	
Agreed,93	
Aims,418	
America,1	
American,1550	
Americans,486	
Americas,21	
Amid,535	
AnnCoulter,40	
Ano,18	
Architect,180	
Argentinian,10	
Armorfly,122	
Asi,20	
Asian,163	
Asked,18	
Attacked,104	
Atty,60	
Australia,553	
Awfully,50	
BFFs,148	
Back,153	
Bateman,114	
Begin,287	
Beijing,180	
Benoit,9	
Besides,113	
Bezos,95	
Bolton,155	
Boston,287	
Bourbon,47	
Brother,8	
Browser,122	
CDC,223	
CHINA,87	
CNN,20	
California,774	
Cameronvdburgh,163	
Canada,47	
Canadian,18	
Cave,230	
Chang,47	
Chief,547	
Chin,20	
China,17967	
Chinas,1035	
Chinese,1301	
Chuck,180	
Claim,2985	
Coeure,9	
Confusion,153	
Congressional,82	
Connecticut,1	
Cost,264	
Costly,570	
Crooked,87	
Cuts,2985	
DACA,169	
DEFICIT,5970	
DENTAL,47	
Damn,134	
Daniels,383	
Dave,114	
Deb,59	
Defends,210	
Deportations,287	
Despite,43	
Dharma,82	
Dismantling,217	
Donald,835	
Dont,20	
Doubles,153	
Dow,67	
Drawing,139	
ECONOMICS,2985	
END,173	
EPA,413	
EXPECT,87	
Eco,142	
Economic,1188	
Economists,47	
Emboldening,217	
Ending,132	
England,261	
Eugene,59	
Europe,87	
Even,334	
Expect,20	
FOX,18	
Farage,169	
Farmers,947	
Fed,399	
Feelzies,122	
Fight,153	
First,54	
Folks,18	
Forgotten,570	
Fox,306	
FoxNewsSunday,47	
Free,1551	
Friday,1129	
Friends,38	
GDP,50	
GMSarli,74	
GOP,331	
GROUP,18	
Game,1129	
Gee,87	
Globe,287	
Gold,169	
Gordon,590	
Gran,60	
Grassley,180	
Guard,82	
Health,47	
Hes,730	
Hillary,104	
History,158	
Hog,47	
Hong,210	
House,3570	
Hows,18	
Huge,570	
ICE,256	
Idiot,257	
Immigrants,264	
India,21	
Indiana,21	
Indonesia,170	
Innocent,82	
Inquisition,82	
Investment,158	
Iowa,674	
Iowans,18	
Irresponsible,172	
Items,20	
Ivanka,444	
Ivankas,267	
Ive,158	
JMPD,363	
Jinping,62	
Jobs,264	
Jones,47	
JordanTugrul,8	
Joseph,153	
KKK,217	
Key,180	
Know,257	
Kong,210	
Korean,47	
Kudlow,1093	
Larry,3689	
Leader,1551	
Lee,163	
Lets,122	
LindseyGrahamSC,154	
Lose,257	
Louisian,65	
Louisiana,65	
Low,271	
MLK,223	
MNUCHIN,87	
MSM,278	
MSNBC,196	
Main,257	
Manufacturers,18	
March,47	
MariaBartiromo,121	
Markets,287	
Massive,2985	
Maxine,63	
Maybe,9	
Meddling,210	
Media,18	
Men,570	
Mexico,1435	
Midst,7	
Midwest,255	
Mnuchin,1465	
Monday,38	
Mornin,153	
Muslim,244	
NEWS,36	
NYT,72	
NathanFreier,93	
National,292	
Nazi,82	
Never,20	
Nobody,50	
Nothing,20	
Nuh,82	
Obama,581	
Oil,174	
Oligarchs,82	
Opening,87	
Overall,82	
POLITICO,163	
POTUS,327	
POUTUS,60	
PRECISELY,18	
Pass,2985	
Patriots,18	
Paul,20	
People,420	
Per,20	
Perform,7	
Plan,47	
Police,223	
Politico,556	
Pompeo,155	
Porn,82	
Potential,1	
Powell,142	
Prediction,163	
Pres,163	
Presiden,344	
President,7833	
Pri,2266	
Protectionism,112	
Pruitts,122	
Published,287	
Putin,217	
QQQ,1129	
Qatar,244	
REPUBLICAN,2985	
RICH,2985	
RTR,53	
RTRS,174	
Read,172	
Really,177	
Reason,257	
Recall,101	
Reme,143	
Rep,243	
Republican,5	
Republicans,317	
Rich,570	
Right,143	
RobertaSchwartz,20	
Rome,210	
Ross,330	
Rudolf,18	
Ruhle,659	
Russian,210	
Rwand,163	
Rwanda,370	
Rwandaover,112	
Ryan,20	
SAYS,87	
SECRETARY,87	
SENS,7	
SNL,383	
SOAR,2985	
SPOT,8	
SPY,1129	
STEVEN,87	
Sam,210	
Sanders,105	
Sarah,105	
Saraswats,82	
Scary,47	
Schmade,146	
Scientist,223	
Scotland,87	
Scott,122	
Sen,314	
SenSasse,47	
Senate,36	
Senator,180	
Shankar,8	
Sharma,8	
Sherlock,115	
Slaps,18	
SoTrade,132	
Sooner,59	
Sorry,47	
Southeast,163	
Speech,1138	
Spotify,8	
Sta,18	
Star,82	
Start,20	
State,18	
States,180	
Stephanie,659	
Steve,20	
Stiglitz,153	
Still,40	
Stocks,295	
Stormy,383	
Street,232	
Sure,47	
Susan,174	
Syria,119	
TRADE,643	
TREASURY,87	
TRILLION,43	
Tackle,121	
Taiwan,93	
Tariff,100	
Tariffs,477	
Tax,2985	
Tears,63	
Tesla,195	
Texas,18	
Thanks,241	
Theres,345	
Thing,143	
Things,420	
Threat,418	
Threatened,180	
Throws,1129	
Times,26	
Timkazinduka,10	
Todd,114	
Torture,82	
Trade,5154	
Trum,219	
Trump,14252	
Trumps,3135	
Tweetstorm,230	
Twitter,180	
Two,29	
USA,8	
USD,142	
Uncertainty,163	
United,180	
Update,223	
Utah,114	
Vatican,210	
Vicente,230	
Vladimir,217	
Vows,383	
WAR,87	
WEED,18	
WORLD,18	
WTF,171	
Wall,232	
Walmart,166	
War,3612	
Warns,209	
Washington,163	
Watch,101	
Waters,63	
Week,82	
Weekly,180	
Weiler,114	
Well,252	
Weve,294	
White,3570	
WhiteHouse,20	
Wilbur,330	
Wisco,20	
Withstand,79	
Women,570	
World,1551	
Wow,113	
Wrong,59	
Yeah,20	
Years,223	
Yes,40	
Youre,202	
achi,464	
across,245	
act,2266	
actions,127	
actually,47	
add,235	
additional,210	
administration,210	
administrations,1	
admits,220	
advantage,553	
adviser,2695	
affect,95	
affecting,59	
afford,68	
aggressive,172	
ago,3236	
agricultural,36	
airplane,104	
allegations,383	
allow,47	
allowed,1551	
allowing,232	
almonds,774	
almost,183	
alone,47	
already,395	
also,10	
although,47	
aluminum,163	
alw,278	
always,129	
amid,82	
among,1	
announcing,163	
another,245	
ante,189	
antics,47	
anything,112	
appearing,180	
argument,49	
around,82	
asking,553	
ass,5	
asymmetric,98	
attack,119	
attacked,104	
attempt,180	
audacious,2266	
bac,1	
back,225	
bad,129	
bans,244	
barriers,18	
based,1094	
battle,406	
bean,21	
beans,21	
beating,87	
beauty,169	
becomes,59	
becoming,54	
began,101	
begin,143	
begins,82	
behind,104	
believes,87	
bene,659	
best,289	
better,62	
biggest,819	
bill,217	
billion,1800	
blasts,169	
blood,59	
bloodshed,59	
blot,163	
bluffing,20	
bolster,163	
booming,553	
border,1228	
bought,180	
break,18	
breaks,230	
brews,90	
brillia,110	
broken,245	
brunt,18	
bugging,174	
build,20	
building,1032	
bully,18	
business,99	
businesses,210	
buy,10	
buyer,163	
bygone,101	
bypass,87	
call,114	
calling,18	
calls,90	
calm,421	
cannot,192	
cant,82	
capita,50	
capital,192	
caps,8	
care,302	
cartoons,287	
case,109	
casualties,20	
caught,47	
cause,2985	
caused,180	
causing,143	
chains,18	
change,1551	
changes,163	
chanting,278	
charge,90	
chats,163	
cheap,47	
chemical,119	
chief,193	
circus,114	
clamor,82	
classic,38	
climate,1551	
close,98	
closer,180	
clothes,482	
clothing,445	
clueless,5	
collateral,82	
comes,17	
comforting,16	
coming,20	
competi,172	
competitors,2761	
completely,16	
concerned,845	
confrontation,117	
consequences,24	
conservatives,142	
consu,25	
consumer,354	
contemporary,87	
continue,38	
contradict,47	
control,210	
controls,402	
conveniently,2761	
convention,114	
convinced,113	
corn,173	
corporations,43	
correspondent,163	
corrupt,4579	
costing,271	
counteract,180	
countries,471	
country,689	
cover,244	
craziness,114	
creating,163	
crime,363	
crimes,1551	
criminal,4532	
cripple,142	
cross,47	
cry,50	
curfews,158	
currency,50	
current,117	
cuss,67	
customer,171	
customers,110	
cut,181	
cuts,189	
cyber,47	
damage,199	
dangerous,112	
daughter,2266	
days,806	
deal,98	
deals,283	
debate,1	
debt,202	
decades,695	
decided,180	
decides,212	
decks,95	
defend,154	
deficit,294	
definitely,18	
deportations,158	
designed,87	
destroys,16	
deta,189	
devast,115	
devastating,65	
different,163	
dignified,18	
directed,398	
discern,163	
discredit,180	
discuss,122	
discussing,82	
distract,60	
districts,72	
dodging,444	
doesnt,240	
doi,811	
domestic,333	
dominates,1	
done,334	
dont,225	
doubt,535	
draft,444	
drop,17	
drug,420	
dumb,87	
dumbest,32	
dynamic,8	
earnings,82	
easy,785	
econ,59	
economic,3240	
economies,87	
economist,148	
economy,1400	
edbott,180	
educate,20	
eithe,93	
election,210	
emerges,13	
end,562	
energy,13	
engaged,1	
enhanced,82	
enjoy,47	
equally,2266	
erase,210	
escalate,20	
escalating,98	
especially,220	
ethical,122	
even,277	
every,59	
everyone,82	
everything,205	
evident,54	
except,158	
exempt,154	
exp,733	
expect,104	
expecting,47	
experience,54	
experts,1	
explains,325	
export,192	
exported,1052	
exports,72	
external,689	
fact,171	
factories,172	
failing,8	
fair,40	
falling,271	
families,245	
far,197	
farm,171	
farme,24	
farmer,47	
farmers,1390	
fashion,2761	
favor,95	
favored,47	
favorites,87	
fear,273	
fears,968	
feel,83	
feelzies,122	
fiction,1032	
fight,354	
fighting,294	
fill,145	
finally,180	
finance,689	
first,83	
fixated,101	
fled,18	
flew,60	
flown,225	
focus,122	
foolish,2186	
fordecades,17	
foreign,82	
forgot,169	
form,67	
forth,225	
fought,317	
freaking,18	
free,104	
friction,171	
frien,9	
friends,356	
friendship,674	
front,287	
functio,98	
funny,200	
gains,210	
game,261	
gaps,47	
gas,47	
geopolitics,8	
get,134	
gets,20	
giant,278	
ginseng,40	
give,82	
giveaway,43	
glad,25	
global,637	
globalist,172	
goin,28	
going,692	
gone,47	
gonna,98	
good,533	
goods,227	
got,166	
government,169	
grapefruit,18	
great,49	
greater,198	
grovels,104	
grow,180	
grown,60	
grows,954	
growth,9	
guaranteed,98	
guys,20	
hairs,47	
half,203	
hand,66	
hands,98	
happe,8	
happening,578	
hard,213	
hardworking,245	
harm,154	
havent,294	
heading,20	
headlines,288	
hear,360	
heathercampbell,158	
hell,236	
help,18	
hen,98	
heritage,18	
heroin,210	
hes,382	
high,192	
higher,406	
hikes,82	
hit,9	
holds,176	
holy,67	
hope,370	
horizon,17	
horrible,334	
host,115	
hot,67	
http,230	
https,278	
huge,170	
hurt,240	
hurts,220	
idea,20	
identify,398	
illustrated,91	
imagine,67	
immediate,163	
immigrants,17	
impact,112	
impacting,72	
important,10	
imports,552	
incidents,47	
includes,370	
incompetent,2145	
increase,163	
inflate,143	
inflict,115	
informing,163	
innovation,94	
insane,171	
inscribed,18	
insightful,115	
insipid,40	
insist,82	
instead,38	
instigating,20	
int,148	
intellectual,8	
intelligenc,47	
intensify,172	
intent,1	
intentionally,95	
interest,290	
interesting,90	
internationalists,536	
investment,71	
investors,560	
invitin,67	
inviting,64	
involved,82	
isolating,1	
isolation,8	
jitters,457	
jobs,313	
joins,60	
joke,87	
keep,408	
keeps,163	
kept,20	
know,692	
knows,20	
lack,54	
land,82	
lapses,122	
largest,59	
later,59	
latest,477	
launching,1032	
lawmakers,163	
leader,72	
leads,117	
learning,18	
