word,count	
act-nepotism,1727	
actions-pushing,1	
actually-live,47	
add-tariffs,142	
additional-billion,210	
administration-made,210	
administrations-actions,1	
advisor-larry,210	
african-correspondent,163	
aggressive-competi,172	
ago-foolish,504	
aims-threat,418	
allowed-leader,726	
allowing-aggressive,172	
almonds-walnuts,420	
almost-half,163	
already-done,326	
aluminum-chinese,163	
americans-actually,47	
announcing-mor,163	
antics-spoiled,47	
asian-countries,163	
audacious-corrupt,1727	
back-mornin,153	
bans-cover,163	
based-fiction,583	
beating-china,47	
believes-beating,47	
best-negotiator,47	
best-trade,47	
biggest-buyer,163	
billion-china,47	
billion-deficit,47	
billion-tariffs,210	
blasts-response,169	
blot-tax,163	
bolster-domestic,163	
bolton-pompeo,155	
border-based,583	
bourbon-native,47	
bugging-trade,174	
building-wall,583	
businesses-paying,47	
businesses-revolt,163	
buyer-corn,163	
california-grows,420	
cameronvdburgh-position,163	
cartoons-contemporary,47	
caught-cross,47	
cause-deficit,2526	
chang-trade,47	
change-war,726	
changes-trade,163	
chats-latest,163	
cheap-goods,47	
china-fight,47	
china-hard,163	
china-immigrants,163	
china-les,163	
china-may,47	
china-mnuchin,418	
china-never,66	
china-paper,163	
china-president,420	
china-purchased,163	
china-things,210	
china-trade,304	
china-vows,153	
china-war,551	
china-year,47	
chinese-report,163	
claim-deficit,2526	
climate-change,726	
clothing-line,163	
conservatives-fear,142	
contemporary-favorites,47	
control-drug,210	
controls-drug,210	
conveniently-targets,741	
correspondent-chats,163	
corrupt-act,1727	
corrupt-daughter,1727	
corrupt-president,47	
cost-jobs,163	
countries-looking,163	
countries-trump,163	
cover-countries,163	
creating-trade,163	
crime-tolerated,363	
criminal-corrupt,1727	
criminal-trump,1727	
cripple-tax,142	
cross-hairs,47	
curfews-probably,158	
cut-message,163	
cuts-message,142	
cuts-rich,2526	
cyber-scary,47	
daca-intelligenc,47	
daughter-pri,1727	
defends-china,210	
deficit-soar,2526	
deficit-weve,47	
deportations-everything,158	
devastating-impact,47	
different-tariffs,163	
discern-much,163	
dismantling-epa,99	
domestic-markets,163	
dominates-headlines,1	
donald-trump,153	
done-tariffs,326	
doubles-trade,153	
drug-trade,420	
dumbest-possible,5	
easy-hes,47	
eco-usd,142	
economic-advisor,210	
economic-nationalists,536	
economists-expecting,47	
economy-produced,47	
economy-protect,47	
emboldening-vladimir,99	
enjoy-trade,47	
equally-criminal,1727	
erase-gains,210	
even-tariffs,326	
even-white,163	
everything-enjoy,47	
everything-except,158	
except-curfews,158	
expecting-policies,47	
exported-china,420	
exported-millions,172	
exported-nearly,47	
factories-allowing,172	
farage-blasts,169	
farmer-losing,47	
farmers-china,94	
fashion-competitors,741	
fear-trade,142	
fiction-launching,583	
fight-back,153	
fight-trade,47	
foolish-incompetent,504	
forgot-national,169	
form-views,47	
fought-hand,66	
free-world,726	
friday-game,336	
gains-administration,210	
game-china,163	
game-trump,336	
globalist-exported,172	
going-daca,47	
gone-cyber,47	
good-jobs,47	
goods-everything,47	
gop-tax,99	
gordon-chang,47	
got-right,158	
grows-almonds,420	
hairs-trade,47	
half-soybean,163	
hand-plunge,66	
hard-keep,163	
havent-fighting,47	
headlines-real,1	
heathercampbell-sure,158	
heroin-opium,210	
hes-announcing,163	
hes-best,47	
hes-creating,163	
hog-farmer,47	
hong-kong,210	
horrible-consumer,326	
hot-trade,47	
house-officials,163	
ice-bugging,174	
idiot-know,257	
immediate-price,163	
immigrants-cost,163	
impact-louisian,47	
important-trading,10	
incidents-week,47	
incompetent-people,504	
increase-thanks,163	
informing-immediate,163	
innovation-economy,94	
intent-trump,1	
iowa-hog,47	
irresponsible-globalist,172	
jmpd-training,363	
jobs-factories,172	
jobs-march,47	
jobs-report,47	
jobs-via,163	
keep-exp,163	
keeps-saying,163	
kkk-marching,99	
kong-trade,210	
korean-war,47	
kudlow-responded,210	
larry-kudlow,210	
latest-african,163	
launching-trade,583	
lawmakers-lobbyists,163	
leader-free,726	
letter-metal,163	
line-spared,163	
lobbyists-even,163	
longish-form,47	
looking-bolster,163	
lose-trade,257	
losing-jobs,47	
lost-many,504	
louisiana-exported,47	
love-cheap,47	
main-reason,257	
manipulation-wholesale,47	
many-years,504	
march-economists,47	
marching-without,99	
market-manipulation,47	
markets-response,163	
massive-tax,2526	
may-market,47	
may-unconventional,47	
means-thre,420	
meddling-election,210	
message-eco,142	
message-politico,163	
metal-roof,163	
mexico-biggest,163	
mexico-border,583	
millions-jobs,172	
mnuchin-war,209	
mnuchin-warns,209	
muslim-bans,163	
national-economic,210	
national-interest,169	
nationalists-internationalists,536	
native-spirit,47	
nearly-billion,47	
need-bolton,155	
nepotism-criminal,1727	
never-fought,66	
officials-struggled,163	
oil-spills,174	
opening-thread,47	
ordering-troops,583	
paper-urges,163	
partner-state,10	
pass-massive,2526	
paying-wages,47	
people-rep,504	
perfectly-good,47	
pessimistic-view,536	
plunge-int,66	
policies-erase,210	
policies-losing,47	
policies-protectionist,210	
pompeo-via,155	
position-changes,163	
possible-way,5	
potential-trade,47	
prediction-trade,163	
pres-trump,163	
president-building,583	
president-donald,153	
president-trumps,420	
price-increase,163	
probably-next,158	
produced-jobs,47	
production-mexico,163	
protect-innovation,47	
protectionist-policies,210	
purchased-almost,163	
pushing-bac,1	
puts-tariff,163	
qqq-spy,336	
raisins-exported,420	
real-intent,1	
really-hes,163	
really-need,155	
reason-lose,257	
reason-trump,47	
recruitment-jmpd,363	
remains-washington,163	
report-different,163	
republican-economics,2526	
republican-senator,5	
republicans-worry,163	
responded-threatening,210	
response-forgot,169	
response-trade,163	
revolt-trump,163	
rich-cause,2526	
right-trade,158	
rome-control,210	
roof-supplier,163	
russian-trolls,210	
sanders-says,47	
sarah-sanders,47	
saying-hes,163	
says-crime,363	
says-trump,47	
scam-bill,99	
scary-incidents,47	
seems-win,47	
senator-slams,5	
shift-policies,210	
slams-trade,5	
slightly-pessimistic,536	
society-love,47	
sorry-iowa,47	
southeast-asian,163	
soybean-production,163	
spared-china,163	
spares-equally,1727	
spark-trade,326	
speaks-recruitment,363	
speech-qqq,336	
spills-ice,174	
spirit-caught,47	
spoiled-perfectly,47	
steel-aluminum,163	
still-believes,47	
struggled-discern,163	
supplier-informing,163	
sure-got,158	
targets-fashion,741	
tariff-steel,163	
tariffs-chinese,210	
tariffs-conservatives,142	
tariffs-horrible,326	
tariffs-lev,163	
tariffs-spark,326	
tax-cut,163	
tax-cuts,2668	
tax-scam,99	
thanks-invitin,47	
thanks-susan,174	
thanks-trade,163	
theres-trade,47	
things-people,420	
think-allowed,726	
thread-best,47	
threat-china,418	
threatening-additional,210	
throws-speech,336	
tolerated-speaks,363	
trade-dumbest,5	
trade-friction,163	
trade-heroin,210	
trade-lee,163	
trade-muslim,163	
trade-vatican,210	
trade-war,6372	
trading-partner,10	
training-officers,363	
troops-mexico,583	
trump-administrations,1	
trump-aims,418	
trump-china,163	
trump-defends,210	
trump-doubles,153	
trump-going,47	
trump-puts,163	
trump-qatar,163	
trump-really,155	
trump-spares,1727	
trump-still,47	
trump-throws,336	
trump-wanted,47	
trump-win,66	
trumps-idiot,257	
trumps-trade,630	
uncertainty-remains,163	
unconventional-weapons,47	
understand-climate,726	
urges-businesses,163	
usd-powell,142	
vatican-controls,210	
view-economic,536	
views-hot,47	
vladimir-putin,99	
vows-fight,153	
wages-americans,47	
wall-ordering,583	
walnuts-raisins,420	
wanted-trade,47	
war-already,326	
war-antics,47	
war-blot,163	
war-cartoons,47	
war-china,1253	
war-conveniently,741	
war-crimes,726	
war-cripple,142	
war-deportations,158	
war-devastating,47	
war-dominates,1	
war-easy,47	
war-end,47	
war-fear,94	
war-friday,336	
war-gone,47	
war-innovation,47	
war-jitters,6	
war-korean,47	
war-looks,47	
war-lost,504	
war-means,420	
war-pesky,47	
war-ramped,163	
war-really,163	
