word,count	
Advisor,210	
African,326	
Aims,418	
Americans,47	
Asian,163	
Back,153	
Bolton,155	
Bourbon,47	
California,420	
Cameronvdburgh,163	
Chang,47	
China,3445	
Chinese,373	
Claim,2526	
Cost,163	
Cuts,2526	
DACA,47	
DEFICIT,5052	
Defends,210	
Dismantling,99	
Donald,153	
Doubles,153	
ECONOMICS,2526	
END,47	
EPA,99	
Eco,142	
Economic,210	
Economists,47	
Emboldening,99	
Even,326	
Farage,169	
Fight,153	
Free,726	
Friday,336	
GOP,99	
Game,336	
Gordon,47	
Hes,163	
Hog,47	
Hong,210	
House,163	
ICE,174	
Idiot,257	
Immigrants,163	
Iowa,47	
Irresponsible,172	
JMPD,363	
Jobs,163	
KKK,99	
Know,257	
Kong,210	
Korean,47	
Kudlow,210	
Larry,210	
Leader,726	
Lee,163	
Lose,257	
Louisian,47	
Louisiana,47	
Main,257	
March,47	
Massive,2526	
Meddling,210	
Mexico,746	
Mnuchin,418	
Mornin,153	
Muslim,163	
National,210	
Oil,174	
Opening,47	
POLITICO,163	
Pass,2526	
People,420	
Pompeo,155	
Powell,142	
Prediction,163	
Pres,163	
President,1203	
Pri,1727	
Putin,99	
QQQ,336	
Qatar,163	
REPUBLICAN,2526	
RICH,2526	
Reason,257	
Republican,5	
Republicans,163	
Rome,210	
Russian,210	
Rwand,163	
SOAR,2526	
SPY,336	
Sam,210	
Sanders,47	
Sarah,47	
Scary,47	
Sorry,47	
Southeast,163	
Speech,336	
Sure,47	
Susan,174	
Tariffs,326	
Tax,2526	
Thanks,221	
Things,420	
Threat,418	
Throws,336	
Trade,1469	
Trump,3859	
Trumps,887	
USD,142	
Uncertainty,163	
Vatican,210	
Vladimir,99	
Vows,153	
War,1468	
Warns,209	
Washington,163	
Weve,47	
White,163	
World,726	
act,1727	
actions,1	
actually,47	
add,142	
additional,210	
administration,210	
administrations,1	
aggressive,172	
ago,504	
allowed,726	
allowing,172	
almonds,420	
almost,163	
already,326	
aluminum,163	
announcing,163	
antics,47	
audacious,1727	
bac,1	
bans,163	
based,583	
beating,47	
believes,47	
best,94	
biggest,163	
bill,99	
billion,304	
blasts,169	
blot,163	
bolster,163	
border,583	
bugging,174	
building,583	
businesses,210	
buyer,163	
cartoons,47	
caught,47	
cause,2526	
change,726	
changes,163	
chats,163	
cheap,47	
climate,726	
clothing,163	
competi,172	
competitors,741	
conservatives,142	
consumer,326	
contemporary,47	
control,210	
controls,210	
conveniently,741	
corn,163	
correspondent,163	
corrupt,3501	
countries,326	
cover,163	
creating,163	
crime,363	
crimes,726	
criminal,3454	
cripple,142	
cross,47	
curfews,158	
cut,163	
cuts,142	
cyber,47	
daughter,1727	
deficit,47	
deportations,158	
devastating,47	
different,163	
discern,163	
domestic,163	
dominates,1	
done,326	
drug,420	
dumbest,5	
easy,47	
economic,536	
economy,141	
election,210	
enjoy,47	
equally,1727	
erase,210	
even,163	
everything,205	
except,158	
exp,163	
expecting,47	
exported,639	
factories,172	
farmer,47	
farmers,94	
fashion,741	
favorites,47	
fear,236	
fiction,583	
fight,47	
fighting,47	
foolish,504	
forgot,169	
form,47	
fought,66	
friction,163	
gains,210	
game,163	
gas,47	
globalist,172	
going,47	
gone,47	
good,47	
goods,47	
got,158	
grows,420	
hairs,47	
half,163	
hand,66	
hard,163	
havent,47	
headlines,1	
heathercampbell,158	
heroin,210	
hes,210	
horrible,326	
hot,47	
immediate,163	
impact,47	
important,10	
incidents,47	
incompetent,504	
increase,163	
informing,163	
innovation,94	
int,66	
intelligenc,47	
intent,1	
interest,169	
internationalists,536	
invitin,47	
jitters,6	
jobs,313	
keep,163	
keeps,163	
latest,163	
launching,583	
lawmakers,163	
les,163	
letter,163	
lev,163	
line,163	
live,47	
lobbyists,163	
longish,47	
looking,163	
looks,47	
losing,94	
lost,504	
love,47	
made,210	
manipulation,47	
many,504	
marching,99	
market,47	
markets,163	
may,94	
means,420	
message,305	
metal,163	
millions,172	
mor,163	
much,163	
name,47	
national,169	
nationalists,536	
native,47	
nearly,47	
need,155	
negotiator,47	
nepotism,1727	
never,66	
next,158	
officers,363	
officials,163	
opium,210	
ordering,583	
paper,163	
partner,10	
paying,47	
people,504	
perfectly,47	
pesky,47	
pessimistic,536	
plunge,66	
policies,467	
position,163	
possible,5	
potential,47	
price,163	
probably,158	
produced,47	
production,163	
protect,47	
protectionist,210	
purchased,163	
pushing,1	
puts,163	
raisins,420	
ramped,163	
real,1	
really,318	
reason,47	
recruitment,363	
remains,163	
rep,504	
report,210	
responded,210	
response,332	
revolt,163	
right,158	
roof,163	
saying,163	
says,410	
scam,99	
seems,47	
senator,5	
sham,210	
shift,210	
slams,5	
slightly,536	
society,47	
soybean,163	
spared,163	
spares,1727	
spark,326	
speaks,363	
spills,174	
spirit,47	
spoiled,47	
state,10	
steel,163	
still,47	
struggled,163	
supplier,163	
sure,158	
targets,741	
tariff,163	
tariffs,841	
tax,404	
thanks,163	
theres,47	
think,726	
thre,420	
thread,47	
threatening,210	
tolerated,363	
trade,5911	
trading,10	
training,363	
trolls,210	
troops,583	
unconventional,47	
understand,726	
urges,163	
via,611	
view,536	
views,47	
wages,47	
wall,583	
walnuts,420	
wanted,47	
war,6484	
way,281	
weapons,47	
week,47	
whic,163	
wholesale,47	
win,113	
winners,163	
without,99	
worked,163	
worry,163	
wrong,47	
year,47	
years,551	
